segment,answerDate,NPS,impactInteraction,reason,improvement
1,3,3,2,Más atención al cliente,Tener más redes de cajeros para el retiro del dinero o redes aval
1,1,5,3,Hay mucha gente en asesoria,Mejorar la atencion
1,2,5,3,El proceso de atención es demasiado lento.,"Si el flujo de clientes en la sede es tan constante, se recomendaria que al menos 2 o 3 asesores esten disponibles para la atención de los usuarios. En mi caso solo estaba disponible un asesor y tuve que esperar 1 hora para ser atendida"
1,3,2,4,"A sido imposible comunicarme con un asesor,  tengo el inconveniente de que no volvió a llegar el extracto y quiero saber como puedo cancelar mi tarjeta terminada en 9408","Que sea fácil resolver inquietudes en cualquier oficina,  la respuesta de los asesores de estas oficina es que todo por la. Aplicación; y no soy la más experta"
1,1,3,3,Solo fuy apagar la tarjeta de credito y no porq siempre es difícil hablar con los asesores y el banco pone mucho problema para un crédito,Mejorar y no exigir de maxiado para los créditos
1,2,0,1,"Por favor revisen esta cuenta porque yo soy de Argentina y están usando mi correo electrónico para llenarme de Spam 😡 nose como puedo solucionar este problema, en ningún momento me hice una cuenta en esto que nose que sea pero siempre me llegan mails de extracciones y movimientos en mi ""supuesta cuenta"".... nose donde puedo reclamar o denunciar este asunto, por favor revisen esto porque me quiero desuscribir y no me lo permiten..dejen de enviarme mails y eliminen mi cuenta de correo electrónico.","Dejen de enviarme spam a mi correo electrónico, soy de Argentina y en ningún momento me suscribí a nada, están usando mi nombre y mi correo para nose que sea...."
1,3,2,1,me demore una y media para que me atendieran,mejorar el tiempo de respuesta
1,1,5,2,Porque no me  llegan mis estractos y no sé cuánto debo pagar,Por favor seguir enviando los estractos a mi correo personal como d costumbre
2,2,0,3,"Pésimo banco, las respuestas dadas por sus funcionarios no resuelven las inconformidades de los clientes.",
1,3,1,3,la atención fue muy regular.. me decian que le preguntara el jede de la sucursal.. por atender a otra persona amigo del señor q llego en ese momento,tener atencion telefonica que uno llama y no hay menu de atencion con asesor
1,1,0,3,No mde dieron solución ni repuesta ah lo que necesitaba,Que den una respuesta coherente ah mi servicio que nececito
1,2,4,2,"No existe la discreción: una señora fue a sacar plata y, de viva voz dijo que necesitaba $3 millones en efectivo y $ 9 en cheque. Todos los que estábamos allí, nos enteramos.Eso pone en riesgo a los usuarios. Son muy lentos y puede mejorar la experiencia del cliente o usuario","Mejor entrenamiento a los cajeros en atención al publico. 
Trabajo en equipo (mucho chisme entre ellos)
Talonarios o sistema donde una pueda registrar la operación y cuantía que necesitaba
Uniformes a los colaboradores"
1,3,0,3,Es un banco donde nadie da información concreta y clara y ponen muchas trabas para cerrar una cuenta.,
2,1,6,3,Es un banco muy costoso,
1,2,6,3,El servicio en ocasiones es bueno y otras poco,Tener más cajeros de acuerdo a la cantidad de gente q este llegando
1,3,4,4,El señor que  llama cesar atendía a la gente sin respetar el turno...,Que se respeten los turnos me parece que si uno saca un turno tiene que esperar su turno y el señor César atendió a otra persona sin turno y lo saludó
1,1,0,1,"La oficina muy desordenada, se estaba haciendo fila y un funcionario daño la fila, mucha demora para atender pocos empleados. No atendieron todos mis requerimientos.",Poner más empleados en las oficinas y capacitarlos para que puedan resolver las inquietudes.
1,2,5,3,Por la demora,Ser un poco más eficientes
2,3,0,1,Estoy retirándome de Colpatria. No me han respondido por dos pagos que suman $2.930.000,nada gracias
1,1,0,1,"Mala atención. No resolución del problema, esta frente al funcionario y tienes que hacer el trámite telefónico o virtual",Acompañamiento. Responder las solicitudes. Equipo que maneje integralmente las solicitudes
1,2,5,2,Mucha demora en la atención.,Más agilidad de los asesores
2,3,5,3,No saben lo que es servicio al cliente. Son personas prepotentes y el cliente no les interesa,"Capacitar la gente , que entiendan que el cliente es importante y bajen un poco esa prepotencia de creerse lo máximo y el cliente es un pobre aparecido"
1,1,0,1,,
1,2,3,3,"Me parece muy delicados que los abonos por pse no se reflejen el mismo día , he incluso que no se abonen a la tarjeta y que haya que esperar 20 días para solucionar","El sistema de pago es línea no es confiable, eso se debe mejorar"
1,3,5,1,Duré haciendo cola 40 minutos para llegar a caja y sólo éramos cuatro cliente había sólo una cajera atendiendo a los presentes nos pareció que era lenta sería importante que contarán con dos cajeros siempre y los tiempos con los acesores es muy largo,El siempre tengan dos cajeros y que sean ágiles si miran la grabación verán cuatro señoras muy molestas pq les parecía una falta de respeto con la tercera edad en este momento llegó una prácticamente y trato de calmar los ánimos
2,1,4,1,No se ha podido utilizar oportunamente la banca virtual para transferencias y se me han causado costos con la tardía reversión de las que se han dispuesto.,"Tener un sistema de banca virtual más agil, y oportuno."
1,2,6,3,Muchos inconvenientes,mejorar
2,3,5,3,Mucha demora para la atención a los clientes,Ser más activos atención prioritaria y ligera no demora la atención más de 10 minutos máximo con el cliente
2,1,3,3,No es coherente que uno envíe a una persona a que realice el pago y no lo reciban porque no es el titular,"Los cajeros expresan que desconocen cuál es el pago de la tarjeta de crédito y cuál el del préstamo, además creen que se trata de un embargo y se realiza por una cantidad inferior. Si resuelven esto, se avanza bastante"
1,2,0,1,Se paga mucho interés  corriente  muy poco. Al saldo. Vampiros,Bajar interés corriente
1,3,4,4,Buena atención,Más cajeros  automáticos
2,1,0,1,Mal.sercivio,Atender al cliente
1,2,1,3,"Una cuota de manejo mensual costosa, aunado a unos intereses demasiado altos.",Nada. Gracias.
1,3,2,1,No solucionan los problemas ellos no tienen la información actualizada y ml q hacen es perjudicar al usuario,Los.empleados en oficina no deberían ser solo.mauquinas q reciben dinero o papeles deben atender de manera integral y q realmente den soluciones
1,1,0,1,Me robaron,
2,2,0,3,No son idóneo para prestar asesoría,No creo que puedan dar un mejor servicio!
1,3,3,3,Service is extremely horrible.,"Obviously hire more cashiers or put the 7-8-9 people doing nothing to work as cashiers.Teach them to do more than just sitting there. Cross training. Aproximately year ago I withdrew $26,000,000 mil pesos after going to Scotia three times to make a deposit. Waiting a grand total of one hour and 18 minutes for the three tries at depositing, I withdrew my money and walked out. You truely have no service. The trip on  Dec. 12th a little better as only 12 people were in line waiting on the one cashier while your other 9-10 employees basicily sat doing nothing. Pretty much the same every time I try and make a deposit."
1,1,0,1,"El aseosr que me qtendio me hizo entender que no es un banco en el que quierp estar, debí de haber hecho una queja pero no tenía tiempo para hacerla, así que se salvó",Ya no buscaré qlgo más con ustedes
2,2,0,3,NO ENCONTRE RESPUESTA,DARME SOLUCION A MI PQR
1,3,0,3,"Não sou cliente.
Continuo a receber mail erradamente.",Alterem o mail do vosso cliente
2,1,2,1,"La atención no es la mejor, y ponen muchas trabas para los formatos que deberían suministrar más facilmente los cajeros o las personas de servicio al cliente.","Que cuando se solicitar los formularios, abonos cuentas AFC, Retiros para abono a capital cuenta AFC, fuera más fácil acceso, así como la actualización de la páguina web"
1,2,0,1,No atienden bien,
2,3,0,3,"Porque tuve tantos problemas de intento de fraudes específicamente con sus tarjetas que ir a las oficinas, en nada cambia mi sensación de inseguridad en torno a los productos.",Revisen qué pasa con la información que uno les entrega porque los intentos de fraude requerían información que solo tenían ustedes y yo.
1,1,0,4,"Por qué hicieron actualizar un celular al cual me llaman a diario , por quede sin lograr los estratos que son imposible bajarlos por la app o el PC . No es posible que para registrar u obtener nombre de usuario desde ayer estoy esperando el email, y eso que tampoco tengo password. No entiendo por qué los estratos no los siguen enviand virtual como lo hacen los bancos",Enviar los extractos por  e mail
1,2,0,5,No me llegó el extracto no lo encontré y me puse en mora y casi se juntan dos cuotas más los intereses de no pagar a tiempo,Mejorar el servicio de correspondencia de las fechas de pago..
1,3,5,3,solicite un cupo para abances no ácido posible tan poco tengo respuesta el motivo,dar respuesta clara y oportuna
1,1,1,1,"LLEVO CON LA EMPRESA, 6 AÑOS LLEVO PAGANDO 3 AÑOS SEGIDOS UN SEGURO EN LA CUENTA SE MUEVE UN PROMEDIO ENTRE8 MILLOS DE PESOS MENSUALES
Y NO ME PRESTARON 5 MILLONES PARA HACER VIDA CREDITICIA Y NI UNA TARJETA DE CREDITO ME OFRECIERON, CON ESO ENTIENDO Q ALOS CLIENTES NO SON TENIDO EN CUENTA. POR ESO NO LA PUEDO RECOMENDAR",LO MINIMO ES DARLE PRIORIDAD A LOS CLIENTES ANTIGUOS Y MINIMO ALGUIEN Q LLEVE MAS DE 3 AÑOS CON SUS PRODUCTOS.
1,2,3,2,Muy mala atención mucha demora para un cumple reclamo.,Ponerles más atención a esas personas que hacen que trabajan y apenas miran los clientes.
1,3,3,3,No lo recomiendo es un banco muy costoso en los servicios prestados,
2,1,3,3,"Porque cuando hay algún retraso , no dan la información del incremento oportunamente y liquidan mal, paga uno lo que liquidan y luego sigue debiendo saluditos y luego vienen cobros por cobranzas que no son justificados",Que cuando se pida una liquidación. Lo hagan oportunamente y así le eviten al cuentabiente costos de cobranzas
1,2,1,1,"la atención al cliente, es de mala calidad. si quieren atender atienden, si necesitan pasar a alguien sin hacer fila lo hacen por encima del que tiene el turno, casi que es rogar para ser atendido","ponerse la mano en el corazón y sentir que nosotros como clientes estamos depositando nuestra confianza y nuestro dinero en sus manos, o sea somos los que ustedes necesitan, ojala hubiera una rebelión y todos sacaran su poco dinero de los bancos y así las corporaciones bancarias tendrían que ofrecer servicios dignos"
1,3,0,1,"No envian extractos  a pesar que los solicite que me lo enviaran a este que es mi correo, pero extrañamente si me envian información  del valor  de la cuota a pagar, no es posible  que deba pagar la cuota sin conocer mis extractos.",Solo por favor envienme mi extracto  mensual.  Gracias por su gestión
1,1,3,1,"Estuve 2 horas solicitado un 
cheque de un cdt  metieron que otra persona debía autorizar lo yo ya había hablado temprano con wsa señora y le había dicho que lo iba a retirar. Y después dicha mujer tiene el descaro delllamarme y no autorizado sino hacerme preguntas de datos wrdnalws cuando yi haba dejado ya mis huellas y cédula y había estado en la oficina  y luego se va la que me estaba ateniéndo y la que me llama no es capaz de enviar el correo a la oficia y si me cuelga. Mi dinero lo manejo yo no una asesora ordena si lo puedo sacar o no .",Agilizar 3l trámite no cerrar oficinas yenos ña que yo usaba avisar que uno depende de unnx para autores sacr wl diero de uno.. Cobtratar gente capacitada.  Idónea si ya me hicieron la biometria para que tengo que responder llamadas que pueden prestarse para fraudes.
1,2,1,3,Muy cara esa tarjeta de crédito; impagable!!’,La atención del asesor fue buena; me refiero a muy caros los intereses que ustedes manejan!! Es una tarjeta de crédito demasiado cara!!!
1,3,1,3,"No espiarle que me cobren por u producto que no uso (crédito rotativo) sin que lo use hace más de 5 años y que solo lo pueda cancelar teléfonicamente , INACEPTABLE",No cobrarme  por un producto  que no uso y permitir cancelar presencialmente en la sucursales
1,1,0,5,Porque no tienen más sucursal y me toca ir a pagar siempre tarde y no me envían mi estado de cuenta a mi correo electrónico teniendo mis datos,Terner más puntos de atención donde pueda pagar sin nesecidad de llegar al centro y enviarme mi estado de cuenta a mi correo electrónico
1,2,5,3,Mucha demora,Más asesoría
2,3,0,1,TENGO UN PROBLEMA CON UN PRESTAMO Y NO ME FUE RESUELTO,RESOLVER EL PROBLEMA
1,1,0,1,Por la sencilla razón que vengo pagando mis cuotas al día y me ofrecieron una refinanciacion sin haberla solicitado y resultaron cobrándome gastos jurídicos sin estar atrasado en mis pagos y nadie me supo dar razón de nada y me tienen bloqueada la tarjeta,Que los acesores no están llamando a ofrecer planes y después están haciendo cobros jurídicos estando al día en sus pagos como me pasó a mi y la respuesta en el banco es paga o paga
1,2,2,2,"Muy lentos, y no dan créditos, absurdo","Contratar personal, y dar créditos para eso sin banco"
1,3,1,1,"Nunca hay línea ,lo en ponen a esperar mucho a uno pero para llamar a cobrar si hay línea y hasta de sobra por q le hacen muchas llamadas a uno.",
2,1,3,4,"La funcionaria que me atendió fue muy atenta, pero el sistema virtual de Colpatria es poco amigable.  Tuve que desplazarme hasta una sucursal física para solucionar mi problema de pérdida de mi clave y vía internet y telefónica fué imposible lograrlo.",Tenía una nueva banker y no me comunicaron.  Llamaba a las anteriores y nunca obtuve respuesta ni virtual ni telefónica.  En la sucursal me dieron el nombre de mi nueva banker.  Que haya mayor comunicación con los clientes y pueda atender mis requerimientos vía internet.
1,2,5,3,porque no era lo que pretendia yo queria un prestamo de libre inversion y e la oficina me dijeron que la informacion era un aumento en latarjeta de credito,en estos momentos acudi a otro banco
1,3,0,1,"En general muy mal servicio del banco. sus canles de comunicacion son dificiles de acceder, en especiales canales digitales, hacen todo imposible para que el cliente pueda comunicarse de manera virtual, los procesos y solicitudes toman demasiado tiempo. los asesores no estan bien informados y la informacion que dan se contradice con la de otros asesores.","mejorar los canales de comunicacion, hacer los procesos menos burocraticos y complicados para el cliente. que los asesores esten bien informados y capacitados. ofrecer metodos de verificacion diferentes a mensajes de texto."
2,1,0,1,UN BANCO DEMASIADO APROVECHADO INJUSTO CON SUS CLIENTES ATODA COSTA SIEMPRE HAY QUE PAGAR LO QUE AQUIERAN COBRAR,QUE NO LE ROBEN TAN VIL MENTE LA PLATA A SUS CLIENTES
1,2,1,1,Todo el día he tratado de cancelar un producto con ustedes. Al final el asesor nunca respondió. Deben tener respeto por el tiempo de los demás!!...Que triste!!,.... jejejeje.....no cambiarán!!
1,3,0,2,Los asesores deberían tener más empatía,Que hagan felices a sus empleados para que no tengan mala cara
2,1,0,1,"necesitaba pagar la totalidad de una deuda de tarjeta de credito pues uds son los mas caros y usureros del mercado y me dieron mal la informacion de pago,",no volverme a llamar
1,2,3,2,El tiempo de espera es mucho y por q me dijeron q ya estaba lista mi tarjeta de crédito q ya podía pasar por ella y cuando fui al banco me dicen como si nada q aun no esta,Dar mejor la información y un servicio más rápido en las oficinas
1,3,2,3,"No me parece buena la atencion, fui a la oficina para que me pusieran a hablar por un telefono y ni me escuchaban bien. con la era digital deberian tener mejores formas de comunicarse con sus clientes.",mas opciones por la aplicacion y lineas de atencion buenas
1,1,0,1,Porque primero dicen que tengo un.preaprobado y voy y no es verdad,Nada
1,2,0,4,Nnnnn,
1,3,0,1,no logre solucionar mi problema y aun sigo tratando de solucionarlo,ya nada pueden hacer para atenderme mejor
1,1,0,1,La atención es pésima dure más de 2 horas y no me resolvieron el problema,No me interesa
1,2,5,3,No me gusto la respuesta por el cobro de intereses que me cobraron sin deber nada en la tarjeta,
1,3,0,5,Por q al abrir cuenta nos dieron la posibilidad de obtener otro producto,Su servicio y atención es muy buena y eficacia
1,1,0,1,"La atención es casi como el banco bbva...la diferencia es el color ...acá prevalece el rojo, allá el azul.","Primordial, tener respuestas efectivas y que solución en el problema , no creas más problema"
2,2,5,3,Los pagos son se hacen efectivos al instante.,Mejor comunicación
2,3,5,3,El banco no es ni parecido a lo que fue Citibank,
1,1,1,1,Me di cuenta que el banco está cobrando intereses a las compras que se realizan a 1 sola cuota cuando se tiene al menos 1 sola compra diferida. Realmente esto no me gustó y prefiero cambiar de banco,"Continuar con la política donde las compras a 1 sola cuota no generen interés sin importar que se tengan compras diferidas. Esto no es servicio al cliente, por el contrario es un abuso del banco"
2,2,1,1,Mala atención aún estoy esperando la llamada q me dijeron q me darían,Ser un poco más proactivos y empaticos
1,3,0,1,"No obtuve una respuesta al problema que llevaba, y no me dieron una segunda opcion",Nada porque segun la persona que me atendio es imposible
2,1,0,1,"La amabilidad del personal es bueno , pero las posibilidades de ayuda son nada , no tienen poder de solucionar y lo envían a realizar llamadas telefónicas que también son un parto de mula para dar con la persona indicada , se requiere de mucha pérdida de tiempo y en su gran mayoría no solucionan",Que las asesoras tengan más poder de solucionar y estén más empapadas de conocer las soluciones que el cliente necesita
1,2,5,2,Muchas fila,Mejorar el servicio en caja
1,3,0,1,"De manera irregular, insuficiente, general y abstracta ofrecen tarjeta de crédito por línea telefónica, vulnerando la ley de habeas data del consumidor financiero; realizan cobro por concepto de cuota de manejo de tarjeta que no han sido activada, después de haber inducido en error de apreciación al consumidor, quien además debe de realizar transacciones mínimas de uso mensual, y no proceden con la cancelación en la oficinas de dicho producto, por cuanto se ofreció y aceptó a través de una canal digital. Por tal razón formularé PQRS al Defensor del Consumidor Financiero, la Superintendencia Financiera de Colombia y los organismos de vigilancia y control.","Abstenerse de utilizar las bases de datos en donde aparezca mi información de contacto, para ofrecer productos de la entidad bancaria. Lo anterior por cuanto se está vulnerando la Ley de Habeas Data del consumidor financiero."
1,1,2,1,Mas de media hora esperando a ser atendidos habían 2 cajeras que no atendían,Mas ajilidad en la atención
1,2,2,1,Buenas noches realmente tenia otro concepto del banco pero al vivirla propiamente me di cuenta q la mayoria del perdonal no le importa el cliente todos los asesores hablando por telefono hablando de sus asuntos y nosotros esperando yo estuve ahi desde las 8 y media hasta 9 y media pasadas demasiado perdeders tiempo gracias,Dedicarle tiempo al clientes y a sus necesidades buena noche
1,3,5,3,Porque en lo que conozco nadie quiere saber de bancos.,Así es tubo bien gracias
1,1,0,2,Los productos,Mejor portafolio y asesoria
1,2,1,1,"Porque no ingresan los pagos,yo por ejemplo realise mis pagos ,junto con la tarjeta de mi señora madre el día de ayer 9:45am y hoy 13 de diciembre 10:45pm.
Aún no ingresan los pagos y me envían notas diciendo pago no exitoso.
Triste muy triste","Primero ingresar los pagos el día que se realice,.
Segundo corregir la información enviando un mensaje diciendo que ya ingreso el pago 
Y tercero no enviar mensajes de texto tarde de la noche ,peor aún a la madrugada"
