propName,segment,interactionDate,NPS,reason_Verbatim ,improvement
1,2,3,2,"Los intereses son muy altos, estoy a punto de cancelar las tarjetas a nombre mio","Los extracto de la tarjeta no son explicitos, no muestran las cuotas a las que esta comprado el producto, ni cuantas cuotas faltan para el pago.
En muchos casos el mismo banco coloca las cuotas a su antojo para cobrar intereses, en la mayoria de casos compro a una cuota y algunas veces me toca llamar  a verificar por las cuotas y me aparecen compras a mayor cantidad de cuotas, por que algunos establecimientos no solictan el numero de cuotas y el banco por defecto las coloca a un año independientemente del valor.
Los intereses son muy altos"
1,1,1,0,Porque no deberían exigir cantidad de beses en usos.,
1,1,2,0,no llegan los extractos a tiempo y siempre tiene información errada del pago,ser claros con la información de los cobros y recibir los extractos a tiempo.
0,1,3,5,Una más que está en el mercado.,
1,1,1,0,"Es imposible comunicarse con un asesor,",
1,2,3,5,"Es buena, la ventaja de tener entradas y beneficios para viajas es un punto a favor, sin en Argo se están quedando atrás ya que otras tarjetas ofrecen mejores beneficios lo que los deja resanados en cuanto a competitividad, por ejemplo cashback en dinero, cero cuota de manejo, personal banker entre otras, si no fuera por el beneficio dragonpass que es lo único que me retiene, mi honesta opinión",Sin duda alguna los tarjeta habientes nos estamos viendo atraídos cada vez más por otras opciones que hay en el mercado que no manejan cuotas de manejo y otros beneficios mucho más atractivos
1,1,1,0,"Nunca he podido disfrutar de los beneficios que menciona la TC, cuando lo he requerido siempre existe un NO...",Enfocarse en las necesidades del cliente y literalmente NO acosar con llamadas a los clientes q cumplimos
1,1,2,1,Un mes no tuve servicio de tarjeta por que uds me la bloquearon. Aun así me cobraron manejo de tarjeta.,soporte técnico es muy malo
0,1,3,1,,
1,1,1,6,,
1,1,2,3,Porque cuando la voy a usar siempre es rechazada,
1,1,3,6,"El servicio de Scotiabank es pésimo, aunque son ágiles en la venta.","Que cumplan con lo que prometen y que cuando hagan campañas de rediferidos, sean sinceros con los clientes porque cualquier rediferido sale más costoso, a pesar de que ""se mejore el flujo de caja""."
1,2,1,2,"Subieron costos de tarjeta a pesar de tener un comportamiento impecable, subieron números de transacciones, deberían no cobrarlo, mal servicio nada espacial.","Mejorar políticas de cobros a clientes antiguos, bajar comisiones de pagos en USD, intereses etc."
1,1,2,6,Porque cobran cuota de manejo,Exonerarme definitivamente de la cuota de manejo
1,1,3,3,,
1,1,1,4,El servicio del banco es pésimo,
1,1,2,6,Caros los intereses,Bajar tazas de interés
1,1,3,0,Hay cobros que no se entienden...,
1,1,1,4,No me parece que para que no cobren cuota de manejo se deban hacer 7 compras.,Eliminar la cuota de manejo definitivamente sin condiciones
1,1,2,5,PORQUE CUANDO TUVE QUE SALIR DEL PAIS A PESAR DE QUE AVISE ME LA BLOQUEARON ME QUEDE SIN DINERO.  CASI NO HAY OFICINAS PARA PAGAR O HACER RECLAMOS,
1,1,3,3,"Por qué mi extracto no es claro algunas veces, porque la pagina para pagar es super compleja y pide muchos datos. No le recuerdan a uno los pagos antes de que se venzan. LAs tasa de interés son super altas.",Hacer más amigable el pago. Dejar claro el valor de pago. Edcar al respecto de como se presentan los extractos. Permitir una opcion de abonar a capital y otra de abono a intereses.
1,1,1,2,intereses variables y no dejan cambiar el tipo de tarjeta,
1,2,2,1,Amex bo sirve casi en ningún establecimiento. Solo sirve buen fuera de Colombia. Para compras internacionales y el dolar esta muy caro.,
1,1,3,4,"En la compra que hice el 23 bién, sin embargo en la compra que hice el 27 muy mal, hicieron que falabella cancelara mi pedido por no aprobar rápido mi pago, y ahora ninguno me responde.",deben aprobar los pagos pronto y causarme problemas con mis compras
1,2,1,0,Pésimo servicio. Bloquean tarjetas y no avisan.,
0,3,2,0,"Están graves de Sercicio al
Cliente",
1,1,3,0,"No se puede usar en todas partes, me sale casi siempre fondos insuficientes y no es cierto. La tarjeta se ha convertido en un problema voy a cancelar",No entiendo que pasa con la tarjeta no funciona bien la experiencia es terrible
1,1,1,5,"he recibido dos correos de compras falsas en mi lugar de trabajo, me parece algo muy extraño",
1,1,2,1,Cobran seguros no autorizados,
1,1,3,0,"Buenas noches.  
No tengo ninguna tarjeta de crédito ni débito con esta entidad. Agradezco si se me da más información",
1,1,1,0,"La tarjeta es un cobro excesivo de todo, es horrible la odio","Que dejen de cobrar cosas que ni uno gasta, los intereses son terribles, la aplicación es lo peor, si uno va a cambiar a cuotas tiene que llamar o sea ni actualizado está eso"
1,1,2,3,"la cuota de manejo es muy costosa,","no cobrar el uso, hay otros bancos que no cobran la cuota de Manejo. también mejorar la seguridad de la tarjeta, en caso de pérfida u olvido, colocar claves rotativas en caso de uso de la tarjeta. personalmente poco llevo la tarjeta conmigo por este motivo."
1,1,3,5,tasas elevadas,
1,4,1,3,"La tasa es alta y por usos en el exterior cobran un 4% . Por eso deje de usarlas en el
Exterior y uso las de Itaú que es mejor en cuanto a tasas y no hay cobros en el exterior . Es que además el hecho ahora que hay que usarla 12 veces al mes para no tener cuota es TENAZ . La devuelvo pronto",Tasa altas y la verdad que el hecho de aumentar un 4% por compras en el exterior es ridículo y poco competitivo
1,1,2,2,Intereses muy altos.,Solo scotiabank
1,2,3,4,Están cobrando intereses con las compras a una cuota,"Se supone q las compras a una sola cuota no generan intereses sin embargo a pesar de hacer todas las compras a una solo cuota, me están cobrando intereses"
1,1,1,0,Porque por mas que confirmo el codigo de seguridad no me permite utilizar la tarjeta,
1,1,2,0,"Por que llegan cobros demás en las factura y no dan explicación de qué son,",Mejorar más las especificaciones que me suben a mi manejo de cuota
1,1,3,1,Las tasas de interés demasiado altas,
1,1,1,3,"Porque mi tarjeta .es un producto  cobijado por una tarjeta principal.

Tal vez si fuera un producto mío, en el que contara con derecho a avance y compra lo recomendaría de una forma diferente .","Quisiera tener el mismo acceso al extracto como el  tarjetahabiente principal, ya que no cuento con clave para comunicarme en caso de robo u otro acontecimiento a la línea directa de atención al cliente."
1,2,2,6,Me gusta el banco pero sus tasas de interés son muy altas,Bajar las tasas de interés
1,1,3,0,"uds me vendieron un seguro para mascotas,  no lo he utilizado  y por ese motivo he tratado de cancelarlo, pero no me deja haceerlo, me tarde mucho tiempo en la linea para poder cancelarlo y al final me cuelgan. Uds dirán, no somos nosotros sino la compañia de seguros, pero, ud como colpatria fueron los que me lo vendieron. y a uds se los pago",las compras con tarajeta en el exterior son sumamente costosas
1,1,1,0,"Mala cobertura, cuota d3 manejo 3xcesiva, me retrase 3 días y debi pagar 170.000 pesos de más...",
1,1,2,0,Xq los intereses son recostodos,Ninguna
1,1,3,6,"Intereses altos , mala comunicación entre el banco y cliente, no recibo extractos a tiempo","Bajar la tasa de intereses, mejorar la comunicación con el cliente"
1,1,1,5,"El valor que cobran por manejo es muy alto, la tasa de financiación cuando la usa también es alta y ahora que para que no le cobren el manejo se debe hacer 7 compras","Que la fecha del corte, debe ser la misma"
1,2,2,1,Muchos lugares no reciben estés tarjeta,
1,1,3,4,,
0,1,1,0,Hasta ahora no me han activado la tarjeta,
1,1,2,4,"Los intereses y tasas de comisión que cobran en la compras internacionales no es una buena tarjeta para el exterior.
Los pagos realizados a la tarjeta no entrar cuando se realizan si no hasta fecha de corte",
1,1,3,3,Interés muy altos ......cobran por todo,Nunca he tenido para avances ..no entiendo muchos cobros ....la cuota de manejo de la tarjeta es muy alta
0,1,1,0,"La peor experiencia con una entidad bancaria, a penas se adquirió la tarjeta de cayó la red cosa que jamás pasa con mis tarjetas credito. Adicional a esto la persona de Pricesmart que nos abordo nos engaño su nombre es Juan Carlos nos obligó a tomar un seguro según el obligatorio por 3 meses, cuando cancele la tarjeta me indicaron que debía cancelar el seguro voluntario en otra entidad que no es el banco llamada Cardif. Al llamar a Cardif nos indican que el seguro aún no está activo que debemos esperar más tiempo exactamente hasta el 16 de noviembre para llamar a cancelarlo. Se les indica que tengo un viaje fuera del país y me dicen que no hay nada que hacer que si no llamo lo activan y me lo cobran cuando ya la tarjeta está cancelada. Pésimo servicio, engañan a las personas con información errónea a todas las personas que conozco les dije que jamás sacará ese producto con ustedes.",
0,1,2,0,"Porque me iban hacer entrega de una tarjeta que no requiero y no solicité, por favor verificar que no la tenga habilitada porque no la recibí, gracias",
0,1,3,1,"Me cobraron un seguro que no me mencionaron en la asesoria. Llame a la aseguradora y me confirmaron que la asesora lo añadió. Sin embargo, este fue agregado sin mi consentimiento. Este tipo de coberturas son OPCIONALES. Está en el cliente tomarlo o no",
1,1,1,4,Uno cobra por cuota de manejo y el interés es muy alto,Bajar la tasa se interés y no cobrar cuota de manejo
1,1,2,0,"Puse una reclamación por un cobro doble generado por una falla del banco y todavía es la hora que estoy esperando respuesta. Más rápido me respondió el comercio que el banco. Y aparte cuando llamé a pedir status, fueron groserísimos.","Permitir los pagos de hoteles, tiquetes aéreos y boletas de entrada a lugares por internet. Siempre bloquean los pagos por internet y me toca usar las otras tarjetas."
1,1,3,3,Porque me quitaron mas de 500000 en el cupo de la tarjeta,Notificar cuando se haga algún cambio
1,1,1,1,Las políticas en cuota de manejo e intereses no brindan beneficios al cliente,Brindar un producto con mejores beneficios para el cliente en lo relacionado a tasas de interés
1,1,2,0,Usureros y no responden por robos 🙄,"No van a cambiar, mientras siempre salgan beneficiados, nada va a cambiar"
1,1,3,0,Manda las compras pequeñas o recurrentes registradas a la tarjeta a 36 cuotas cobrando mucho de interés cuando una compra de esas se puede enviar a solo una cuota. Ustedes se aprovechan del cliente con intereses al 42% a 32 cuotas,Las compras recurrentes registradas a la tarjeta deben dejarlas a una cuota
1,1,1,4,Imposible de contactar a la línea de Atencion al cliente para solucionar dudas,
1,1,2,0,"Costosa, cambiaron las condiciones para el cobro de la cuota de manejo, en fin, trataré de no usarla más hasta que la termine de pagar y solicitaré la cancelación",
0,2,3,5,Me pareció muy difícil activar mis tarjetas. Y todo porque recientemente había tenido un cambio en mi operador móvil. De resto todo el proceso fue muy amable y fácil.,
1,2,1,0,"Porque lo obligan a hacer utilizaciones al mes, so pena de cobrar una cuota de manejo absurda.",
0,1,2,0,Pesimo servicio en todos los canales,
1,2,3,0,Las tarifas más caras del mercado,Me gasto más de 5 millones mensuales y me cobran cuota de manejo. Están locos
1,1,1,0,Las tasas están muy altas y más de que pague y pague no baja eso,
1,1,2,1,La tasa más alta del mercado,Bajar cita de interés y cuota de manejo
1,1,3,6,"subieron las compras minimas y quitaron los beneficios de seguro internacional de viaje.. en vez de mejorar estan dañando las condiciones, estoy seriamente pensando en cancelar la tarjeta..","retomar el seguro internacional , no cobrar comision por compras internacionales ."
1,1,1,2,"Me dejo muy inconforme la decisión que tomaron de apoyar la deuda que se tenía para ponerme al día haciendo una reducción de intereses lo cual genero una expectativa muy grande de mi parte, y un par de meses después deciden que esa supuesta ayuda la descontaron totalmente del cupo de mi TC una vez esta liberado, dejando nuevamente mi tarjeta con deuda al 100%, es un banco que no mi opinión de una manera tramposa genera falsas ayudas y expectativas.

Esa estrategia deshonestidad los saca de mis preferencias y por tal motivo no les recomendaria a nadie.","Deberian revisar mi caso de nivelacion de deuda e la cual logro con mucho esfuerzo dicha nivelacion para que despues de unos meses me quiten el cupo que tenia disponible.

Esta accion me tiene realmente ofendido"
1,1,2,5,"Le entregaron mis datos a la aseguradora de colpatria, quienes son demasiado agresivos llamandome me tocó buscar formas de bloquear sus numeros, enviar un comunicado para que no me llamaran, y de alguna forma desviar todas las llamadas, tampoco me gusta que se demoren tanto en cargar los consumos y pagos por la app, genero un consumo y hasta el dia siguiento o mas dias me aparece lo que me he consumido, por lo que la app tampoco es fiable para saber cuanto cupo he consumido, tampoco me gusta que el plastico tenga el codigo de seguridad al lado de mi nombre, por lo que cuando verifican mi tarjeta contra la cedula la persona puede ver mi codigo de seguridad, coloco un 5 porque me gusta que pueda tener dos plasticos uno con un cupo mas grande que el otro.","Hacer que las comunicaciones no me lleguen por llamada, sino que me lleguen solo por correo, por la app cuando la abro a por whatsapp, tanto de ustedes como de la aseguradora, que los plasticos no tengan el codigo de seguridad al lado de mi nombre, que el monto utilizado con la tarjeta me aparezca en tiempo real en la app ua que actualmente se demore uno dos o hasta tres dias."
1,1,3,2,Me cambiaron los términos de excepción de cuota al doble de transacciónes en un viaje a Europa jamás funcionó así q no la recomiendo,
1,1,1,4,"muy alto los intereses, costos altos de pago por tener la tarjeta,  demasiadas transacciones para que no se genere pago de la tarjeta","1. Rebajar los intereses y no colocar casi la tasa de usura. 2. colocar un minimo de transacciones al mes para no generar cobro de manejo de tarjeta, tenia solo 7 a 10 movimientos, rebajen ese numero, 5 me parece muy bien"
1,1,2,0,Sus asesores de servicio al cliente me hicieron un j fraude y perdí la confianza en este banco,
1,1,3,3,Se condiciona el no cobro de cuota de manejo con numero de transacciones al mes.,No condicionar el cobro de cuota de manejo con transacciones mensuales.
1,1,1,0,Aplicación traba mucho la transmisión,
1,1,2,6,Muy elevado la cuota de manejo,Ser más claros con la exoneración de la cuota de manejo
1,1,3,0,"Soy buen pagador y aun así me bajan el cupo sin avisarme , haciendome pasar penas en el comercio, me bajaron el cupo tres millones en un año , increíble y aún así pago",
1,1,1,6,Disminución de ventajas en su uso.,"Las ventajas en Cencosud ERAN buenas, pero definitivamente ya no existen. Estoy revisando el cambio de tarjeta."
1,1,2,5,hay algunos servicios que no me sirven y el deterioror de la tarjeta es anormalmente alto,
1,1,3,0,"no me gusta que me den productos omitiendo informacion, tuve que pagar cuota de manejor porque la que me dio la tarjeta no me dijo informacion vital, apenas la pague la cancelo",
1,2,1,4,"Recalcula tasas cada mes, y cada vez incrementan más el número de transacciones para no pagar cuota de manejo",No recalcular tasas cada mes y dejar de incrementar el número de transacciones para no pagar cuota de manejo. Clientes antiguos deberíamos no pagar cuota de manejo.
1,1,2,0,,
1,1,3,0,"Es triste que la entidad financiera no tenga auditorias de sus procesos y sea solo por este medio que atiendan situaciones que perjudican los clientes, además no hay trazanilodad de los casos y en la línea de atención no ayudan para este tipo de situación.",Realicen auditorias a los procesos
1,1,1,2,han cambiado continuamente las condiciones para no cobro de cuota de manejo,
1,1,2,5,Porque es buena en descuentos pero nunca me solucionaron un problema para usar la tarjeta en las salas VIP,
0,1,3,0,Porque la tarde hay de crédito que ofrecen no sirve y cuando uno la quiere cancelar piden activarla deberían ser más flexibles en la cancelación de una tarjeta ya que no es funcional ese servicio,
1,1,1,1,"Porque al hacer compras diferidas … mes a mes cobran intereses sobre el saldo total sumando las compras a una cuota.  
Terminas pagando más intereses de los normales y sobre las compras a una cuota. 
No lo dicen al ofrecer la tarjeta por lo cual es engañosa",
1,1,2,3,"Se demoran muchos días en hacer efectivas las operaciones, y no es cuestión de VISA, es cuestión del banco, porque he tenido tarjetas de crédito visa de otros bancos y las transacciones se reflejan casi que inmediatamente, pudiendo incluso pagar el saldo d ela tarjeta para tener todo el cupo disponible sin tener que esperar tantos días.

En los extractos de otros bancos, la acumulación de millas por uso de la tarjeta es muy claro y viene desglosado, en la de Scotia Bank es confuso y no lo desglosan.

El servicio de atención al cliente es pésimo, se contradicen entre la información dada vía telefónica y la presencial en el banco, y eso cuando dan la información, porque la mayoría de veces cuando uno solicita aclaración, piden que envié un mail con la consulta, haciendo todo muy ineficiente y burocrático.",Mirar qué hace la competencia mejor (por ejemplo Davivienda)
1,1,3,3,"Se volvió malo el servicio cuando hago compras, me toca hasta 3 veces q haga la misma transaccion por q sale, rechazo de la transaccion y en linea no me dieron ninguna solución, y la falla continua, y es muy engorroso y penoso q no pase las transacciónes",
0,1,1,3,"Hice solicitud de tarjeta platinum y llegó categoría Gold.

La activación de la tarjeta demoró más de lo esperado.

Los canales de comunicación no funcionaron por días",
0,2,2,6,No deberían obligar a hacer 4 o 7 compras para exoneracion de cuota de manejo,
1,1,3,3,Llevo mucho tiempo con la tarjeta y aún sigo con el mismo cupo,
1,1,1,6,"tasas diarias, no aceptan transacciones los fines de semana y en caso tal de estar en mora no se te refleja si no hasta el dia habil, es decir que me cuentan esos dias con  mora, no puedo cambiar las cuotas y la app falla demasiado.",mejorar la aplicación.
1,1,2,0,tasas exageradas,bajar tasas
1,1,3,1,"Los costos de intereses son muy altos, y la cuota de manejo por más que la utilice siempre me cobran cuota de
Manejo.",
1,1,1,6,"Hola, es complicado estar pensando si no se usa, cobran manejo. Y hay algunos lugares (comercio minorista) que cobran una comisión adicional por el pago con TC.",
1,1,2,3,"No avanzó en el pago de la deuda, cobran mucho en impuestos.",
1,1,3,3,"Porque la cuota de manejo es muy cara 
Tras de eso le prometen que haciendo 3 compras al mes no le. Cobran y es mentira 
Tras de eso es muy difícil comunicarse a la línea de ustedes",
1,2,1,0,"Tuve un inconveniente con mi tarjeta de credito, me la hurtaron y fue todo un problema con Scotiabank ya que segun ustedes la responsabilidad es mia.  Hicieron una compra grande y siendo que era una compra no habitual, nunca me notificaron.",
0,1,2,0,"Fui al D1 el día 04/11/2023 hice una compra por 11,780 y la cajera me dice que no reporta el pago y pague en efectivo al llegar a mi casa reportan el cobro por la tarjeta así que me descontaron los 11,780 pase al día siguiente hacer el reclamo y me dicen que es el banco quien debe responderme y devolverme la plata de ese día me siento inconforme ya que no es el echo que pague el doble y ninguno me responda.",
1,1,3,4,,
1,1,1,0,,
1,4,2,5,Siempre que utilizo la targeta la primera vez es rechazada por el comercio.,
1,2,3,4,"Información no es on line y tiene un delay de hasta 48 horas por lo
Cual nunca se sabe el saldo en tiempo real y hace difícil llevar el flujo de caja personal. Otros bancos son totalmente en tiempo real",Saldos en tiempo real
1,1,1,1,"La tasa de interés es muy alta 
, engaño con la sala vip de Avianca",
0,1,2,2,Me dijeron que en 10 minutos estaba lista y me demoraron aproximadamente 30 minutos,
1,1,3,6,Interés muy alto,Replantear intereses
1,1,1,5,Cambios no dichos. Antes tenía el cupo con avances. Aparte la cuota de manejo es costosa para el cupo y los pocos beneficios que ofrecen,Ampliar cupo. Poder hacer avances. Bajar la tasa de interés. La cuota de manejo es escandalosamente alta para lo poco que se ofrece.
1,1,2,5,Pues me cobraron cuota de manejo y que supuestamente me realizan reintegro y hasta la fecha nada sirve como sirve todas las tarjetas,
1,1,3,0,"Malo el servicio , se hacen los mis para cancelar",
0,1,1,4,Bueno pedí la tarjeta black y auque el color es negra no es la black sino la platinum. Y realmente quería era la black. Yo tengo una black de Bancolombia Mastercard. Y había pensado en devolverla. Pero creo que devolveré la platinum,
1,2,2,6,Porqué cuando la ofrecieron daban un bono de bienvenida y las instrucciones del asesor fueron  erradas y no lo pude reclamar incluso me acerque a ser el reclamo y no me dieron solución solo que me dieron mal la información y que nada que hacer,Que los asesores den la información correcta y no solo por entregar tarjetas
1,2,3,5,No hay nada especial,Mejorar la página
1,2,1,2,deficiente informacion sobre transacciones efectuadas,
1,1,2,0,"Porque estando al día, de manera unilateral, arbitraria y autoritaria me fue bloqueada la tarjeta de crédito afectando pagos domiciliados con esa tarjeta. Es un banco que atropella al cliente, NO LO RECOMIENDO A NADIE.",
1,1,3,2,Intereses demasiado altos,Exonerar de cuota de manejo
0,1,1,2,,
1,1,2,6,.,
1,1,3,0,Pesimas conficio,
1,1,1,1,"La tasa de interés es muy alto y la cuota de manejo también, fuera de eso el banco no da una solución, la respuesta es que entregue la tarjeta",Quisiera no pagar la cuota de manejo y que los intereses sean más bajos y que sea más fácil las llamadas con servicio al cliente porque es muy complicado
1,1,2,4,"Los tiempos de respuesta son largos y todo tiene que ir a Bogota para ser resuelto, estan muy atrasados",
1,1,3,2,Porque exigen una gran cantidad de transacciones para no cobrar cuota de manejo,"No cobrar cuota de manejo , ni exigir un número de transacciones para exonerar, 
En mi caso el número de transacciones aumento sin previo aviso, desde que tengo la tarjeta a la fecha"
1,1,1,6,"Me parecen muy altos los intereses, y a mi personalmente me están cobrando una cuota de posible fraude. Que no entiendo l por que.",Que exista una mejor comunicación con los asesores. Es muy difícil logrará hablar con ellos casi qué imposible. Te dan un menú en la llamada y nunca el asesor responde. Gracias.
1,1,2,5,"He realizado compras en PriceSmart cuando hay promociones ¡Aprovecha el Día del Comprador Inteligente! y no me han aplicado el abono del 10% de SmartCash.
Me siento engañada.",Cumplir lo que prometen.
1,2,3,4,por que estan cerrando todas las oficina y es mas dificil para el cliente,
1,1,1,6,,Con el tema de la cuota de manejo no son claros cuál son las condiciones
0,1,2,4,Falta de asesoría,
1,1,3,5,"Porque la línea de servicio al cliente es muy mala, tengo una clave que nunca funciona",Mejoren el servicio al cliente y cumplan con los beneficios que ofrecen
1,1,1,5,Muy altas tasasde interés. Página web poco amistosa.,Mejorar el procedimiento de activación.
1,1,2,6,Por qué sirve,
1,1,3,4,"Las tazas de interés de las más altas, además de eso la atención en las oficinas es muy deficiente, falta empatía en la atención",Bajarnos tazas de interés además de capacitar a los empleados en la atención a los usuarios
1,1,1,4,"Es incómodo que cambien las políticas de manera unilateral, faltando al contrato firmado entre las partes.",
1,1,2,5,,
1,2,3,0,Nunca hay una buena atención de los asesores en el call center,Nunca hay una persona que lo pueda atender y explicar bien las cosas siempre tiene que solucionar como pueda o acercarse al banco donde tampoco hay solución por qué también es por el teléfono
1,1,1,6,No fue posible realizar compra de un Seguro. Teniendo el cuenta que la tarjeta siempre está al día en pagos y con suficiente saldo disponible.,
1,1,2,5,Por qué los intereses están altos,
0,1,3,5,No he utilizado la tarjeta y debo esperar cuál va a ser el comportamiento,
0,2,1,1,Wn un metro pregunte como.iba la solicitud de la tarjeta se crédito que hice en kenedy y la chica  del metro cancelo la solicitud y me solicitó otra de mayor valor la cual le aclare que no me interesaba el monto porque era muy alto y que la que había solicitado era más bajita su monto,
1,1,2,0,Muy altas las tasas de interes,
1,1,3,0,"Cuota de manejo alta, la voy a devolver.
5 usos minimo por mes para evitar cobro de cuota de manejo,  cumplo, y ahora me suben a 7.",
1,1,1,5,No manejan tasas preferenciales,"Ofrecer mejores opciones que los competidores, tasas preferentes etc"
1,1,2,5,,
1,1,3,1,"Si defino una sóla compra a más de una cuota, el interes me aplica sobre todo el saldo, Fatal...!!!!","Cambiaron beneficio de acceso a salas vip, fatal....!!!"
1,1,1,6,,Las compras por internet son imposibles
1,1,2,5,,
1,1,3,0,"Cambiaron los términos de condiciones  para el no cobro de la cuota de manejo de 4 a 7 compras sin previo aviso. Además, en las salas VIP de avianca dicen que es la única tarjeta LifeMiles de visa que no permite el acceso a las salas. Tan pronto salde la deuda cancelaré la tarjeta.",No cambien los términos de condiciones para la cuota de manejo. Abusivos!!!
1,1,1,2,"COMO ES POSIBLE QUE DESPUES DE TANTOS AÑOS ME QUIERAN PONER CUOTA DE MANEJO , QUIERO LA CANCELACION DE ESA TARJETA",
1,2,2,0,Scouts bank colpatria es el peor banco del mundo. Nunca uso la tarjeta y religiosamente cada mes me cobran más de cien mil pesos. De verdad es el peor producto que he tenido.,"Dejar de cobrar tanto por no usar la tarjeta. Me siento estafada. Nunca uso la tarjeta y siempre tengo una deuda de 100 o 200 mil pesos. Cada mes, así pague la totalidad de la deuda"
1,2,3,2,No es muy bueno,
1,1,1,1,"Espero que este mensaje lo encuentre bien. Me dirijo a ustedes para informar sobre un inconveniente que experimenté al intentar realizar una transacción reciente.

A pesar de haber superado los filtros de seguridad habituales, incluyendo la verificación mediante mensaje de texto, la transacción no se completó con éxito. Recibí la confirmación de seguridad, pero al intentar finalizar la operación, me encontré con dificultades.",
1,2,2,6,"Porque a pesar de que el app es moderno, faltan muchas funcionalidades para un banco de primera, en cuestión de tarjetas de crédito: no se puede cambiar la cantidad de meses de las compras, las internacionales van automáticamente a 24 meses (como así!?), el programa de puntos no es estándar, depende de la marca compartida y es muy fastidioso.",Hacer el app más flexible. Qué se puedan cambiar los límites de compras internacionales fácilmente. Qué haya un botón de PSE directo
1,1,3,6,"En general funciona bien, tiene buenas políticas de seguridad aunque a veces es mejor que se comuniquen con el usuario antes de bloquear, las comisiones en el exterior son muy altas y antes tenían relacionamiento con priority pass que se puede usar en general, pero dragon pass no lo reciben prácticamente en ningún lado y con Advantage no sirve en Latam",Mejorar las tasas de comisión en el extranjero
1,1,1,0,Porque no puedo pagar por PSE desde hace meses.,"Poder pagar en línea.
Más claridad con los beneficios, parece una tarjeta débito."
1,1,2,0,"Es la peor tarjeta de todas, el dólar lo cobra muy caro, no se pueden poner a una cuota las compras, los puntos son solo con Cencosud, y son muy pocos puntos los que dan comparados con otras tarjetas. Es la peor tarjeta que he tenido, espero cancelarla una vez pague la deuda que tengo",Cambiar su plataforma y dejar de estar aliado con Cencosud
