answerDate,surveyType,NPS_BSC,impactInteraction,reason,improvement,NPS_Coverage_Team,impactLastInteraction,reasonLastInteraction,improvementLastInteraction,Nps_rel,PDR,expectedBusiness,commRelation,commFactor,commOther
MES 1,BSC,10.0,Aumentó de manera significativa,"excelente atencion , muy rapida",mejorar el representante de cuenta,,,,,,,,,,
MES 1,Relacional,,,,,,,,,10.0,"Porque es un banco confiable, con el que hemos realizado operaciones en sus diferentes líneas de negocios y nos ha salido todo bastante bien, no hemos tenido mayores inconvenientes",Aumente,"Ampliar la red de oficinas, sobre todo en el sur de la ciudad, no tenemos muchas cerca de nuestra ubicación.","Nos sentimos muy bien atendidos por nuestro Gerente de cuenta, y su equipo, quien siempre estan dispuestos a prestar el mejor servicio y ayudar en todos nuestros requerimientos en forma oportuna",
MES 1,BSC,10.0,Aumentó de manera significativa,"Buenas tardes

el proceso ahora es mas fácil, ademas la Señorita que me atendió tiene un amplio conocimiento y me guio para solucionar el inconveniente que teniamos en la empresa.
Muchas Gracias",,,,,,,,,,,
MES 1,Coverage Team,,,,,9.0,No hubo cambios,,"Seria importante que consideraran la posibilidad de poner una oficina en Metrópolis, puesto que para cualquier diligencia desplazarnos a la sucursal mas cercana no es tan fácil",,,,,,
MES 1,BSC,1.0,Disminuyó de manera significativa,Soy administrador de propiedad horizontal y llevó más de mes tratando de legalizar firmar y activar la banca virtual...en la banca virtual llevó dos días tratando de habilitar a las personas que deben autorizar....mire mi registro histórico que no le estoy diciendo mentiras,Me atendieron en total 8 asesores...las damas muy amables y serviles...los hombres se disgustan con facilidad al punto que el primero que me atendió no me ayudó con el problema,,,,,,,,,,
MES 1,Relacional,,,,,,,,,9.0,,Se mantenga,,,
MES 1,BSC,10.0,Aumentó de manera significativa,Satisfactorio,Que haya menos trámites,,,,,,,,,,
MES 1,BSC,9.0,Aumentó poco,"Mucho mejor la atenciòn del asesor asignado al Conjunto, ha sido excelente y la atenciòn de la señorita Ingrid en la asoria en nuestra banca virtual excelente.","La atenciòn es supremamente importante, especialmente a la poblacion adulta que no
somos muy duchos para manejar esta tecnologia",,,,,,,,,,
MES 1,BSC,3.0,Disminuyó poco,Porque Scotiabank es demasiado burocrático y eso hace que los procesos tengan mucha fricción con los usuarios,Ser más ágiles,,,,,,,,,,
MES 1,Coverage Team,,,,,10.0,Aumentó poco,,Hacer el portal más interactivo,,,,,,
MES 1,BSC,8.0,Aumentó de manera significativa,,,,,,,,,,,,
MES 1,BSC,9.0,Aumentó poco,Ahora si contestan la linea telefónica,Flexibilidad,,,,,,,,,,
MES 1,BSC,10.0,Aumentó poco,,,,,,,,,,,,
MES 1,BSC,10.0,Aumentó de manera significativa,,,,,,,,,,,,
MES 1,BSC,10.0,Aumentó de manera significativa,"La persona que me atendió super atenta, maneja super bien el tema, explica muy bien detallada la operación que debe hacer uno por ese medio, tuvo toda la disposición para explicarme",,,,,,,,,,,
MES 1,BSC,6.0,No hubo cambios,,,,,,,,,,,,
MES 1,BSC,10.0,Aumentó de manera significativa,,,,,,,,,,,,
MES 1,BSC,0.0,No hubo cambios,procesos demasiados lentos y complicados,,,,,,,,,,,
MES 1,BSC,10.0,Aumentó poco,"Muy buen servicio por parte de Dayanna, la asesora que me atendió",,,,,,,,,,,
MES 1,BSC,9.0,No hubo cambios,SE LLAMA Y DICEN QUE COLABORAN PERO SE DEMORAN EN DAR RESPUESTA UN DIA MAS,,,,,,,,,,,
MES 1,BSC,10.0,Aumentó de manera significativa,"La atención recibida fue muy buena, me aclararon muchas cosas, el asesor fue muy educado y se esmero por solucionarnos las inquietudes.
Gracias Scotiabank","En las llamada muchas veces la comunicacion se corta y debemos volver a llamar y hacer todo el tramite que ya iba adelantado con el asesor, porque nos atiende en la siguiente llamada otro nuevo asesor, eso es muy engorroso empezar de nuevo, explicar y volver a espera la solucion con la desconfianza de que se vuelva a corta nuestra llamada.
agradeceriamos que cuando la llamada se corte nos sea devuelta para continuar con el proceso que estabamos realizando.
Gracias por oir nuestras sugerencia.",,,,,,,,,,
MES 1,BSC,10.0,Aumentó de manera significativa,Servicio,no sabría,,,,,,,,,,
MES 1,BSC,10.0,Aumentó poco,La atención que recibí de su funcionaria  fue acertada,Reducir el tiempo de espera de comunicación en el teléfono.,,,,,,,,,,
MES 1,Coverage Team,,,,,10.0,No hubo cambios,,,,,,,,
MES 1,Relacional,,,,,,,,,9.0,POR EL SERVICIO PRESTADO,Se mantenga,ATENCION OPORTUNA,,
MES 1,Relacional,,,,,,,,,10.0,Por su servicio y atencion oportuna a nuestras necesidades,Se mantenga,Las tasas de interes estan muy altas,"Nuestra gerente de cuenta ha sido un apoyo incondicional con el crecimiento y las necesidades de nuestra empresa, el servicio es excelente y la atención oportuna.",Por favor mejorar el portal empresarial que es bastante complicado de manejar.
MES 1,Relacional,,,,,,,,,9.0,,Aumente,,,
MES 1,BSC,10.0,No hubo cambios,simepre he tenido una excelente opinión del servicio recibido,todo esta muy bien,,,,,,,,,,
MES 1,BSC,10.0,Aumentó de manera significativa,Buena atención,,,,,,,,,,,
MES 1,BSC,10.0,Aumentó poco,,,,,,,,,,,,
MES 1,BSC,8.0,No hubo cambios,la atencion es buena,,,,,,,,,,,
MES 1,BSC,10.0,Aumentó de manera significativa,,,,,,,,,,,,
MES 1,BSC,9.0,Aumentó de manera significativa,Atencion agil y amable,La plataforma sigue siendo muy engorrosa para manejar sobre todo en pagos a realizar el fin de semana.,,,,,,,,,,
MES 1,Relacional,,,,,,,,,9.0,"Con el banco como tal, por la cercanía que he tenido con la gerente de cuenta constructor Lina Gómez y su disposición continua en todos los temas que se requieren para el financiamiento de los proyectos.",Aumente,"Tener unos tiempos óptimos de estudios y aprobaciones de crédito y, posteriormente en la operación, unos tiempos ágiles de legalización y de desembolso.","En los momentos en que he trabajado con el banco, la relación con la gerente de cuenta ha sido muy buena, siempre se ha mostrado dispuesta y presta a todas las necesidades, tal vez, por las veces que he trabajado con el banco (en el pasado), mejoraría los tiempos de respuesta en la operatividad de los créditos.",
MES 1,Relacional,,,,,,,,,7.0,,Aumente,,,
MES 1,BSC,10.0,Aumentó poco,,,,,,,,,,,,
MES 1,BSC,9.0,Aumentó poco,La excelente atencion que recibo por parte del asesor.,,,,,,,,,,,
MES 1,BSC,10.0,Aumentó de manera significativa,Compromiso con el cliente,No tengo comentarios,,,,,,,,,,
MES 1,Relacional,,,,,,,,,7.0,"Actualmente no tenemos crédito constructor con el Banco.  La experiencia en los créditos hipotecarios de los clientes muchas veces es compleja, por la respuesta poco oportuna.  La experiencia con la fiduciaria ha sido terrible.",Disminuya,"Nos gustaría buscar un crédito constructor, y así lograr una relación más cercana con el banco, que nos permita conocernos mejor.",La relación con Lina Gomez ha sido buena.  Siempre se muestra muy dispuesta a ayudarnos y acompañarnos.,
MES 1,BSC,9.0,No hubo cambios,,,,,,,,,,,,
MES 1,BSC,8.0,Aumentó poco,El banco es muy seguro para la parte de medios electronicos pero es un poco demorada la recuperación de tarjetas debito y harian falta oficinas en algunas ciudades del pais.,Hacer menos complicado el acceso a la banca virtual empresarial porque es no muy facil de usar.,,,,,,,,,,
MES 1,Relacional,,,,,,,,,10.0,"Nuestro Gerente comercial Santiago Duque y todo el equipo son personas muy cercanas, siempre buscando soluciones acordes a las necesidades de la empresa y dispuestas a acopañarnos en todos lo retos.",Aumente,"Los productos de cash, FIC y mercado secundario para inversiones.","Cercania, servicio, empatia y busqueda de soluciones.",
MES 1,Relacional,,,,,,,,,9.0,"Atención oportuna a necesidades , aunque tasas de financiación mas altas que otras entidades financieras",Aumente,Ofrecer tasas de financiación mas competitivas.,"Tenemos contacto permanente, oportuno y asertivo con el banco a través de nuestro Gerente de Relaciones al igual que con todo el equipo de especialistas disponible para las operaciones requeridas.",
MES 1,BSC,1.0,Disminuyó de manera significativa,"El servicio al cliente en las sucursales es terrible, espere 1hora y 35 minutos para que llamaran y dejan seguir a varias personas sin turno cuando me acerco y expreso mi inquietud me dicen que no soy cliente a lo que respondo tengo cuenta empresarial y personal. Aun así no resolvieron nada hasta que me dirigí a la gerente. 
Mal servicio",,,,,,,,,,,
MES 1,BSC,8.0,Aumentó de manera significativa,El servicio y la atención de la asesora fue bueno.,,,,,,,,,,,
MES 1,Coverage Team,,,,,10.0,No hubo cambios,,,,,,,,
MES 1,BSC,3.0,Disminuyó poco,Me bloquearon una compra con tarjeta de crédito y no me llamaron a preguntarme.  Perdí un montón de tiempo hablando con el call center,No me impidan usar la tarjeta de crédito sin preguntarme ANTES,,,,,,,,,,
MES 1,BSC,9.0,Aumentó poco,LA ATENCION ES EXCELENTE,,,,,,,,,,,
MES 1,BSC,10.0,Aumentó de manera significativa,Porque con la banca virtual se hacen muchos procesos sin tener que ir al banco,Todo bien,,,,,,,,,,
MES 1,BSC,1.0,Disminuyó de manera significativa,"Las interacciones generalmente no solucionan los problemas sino que reinician las gestiones necesarias haciendo los procesos internos costosos, ineficientes y desgastantes","Integrar la posiblidad de dar solución directa en las interacciones reduciendo al máximo el número necesario de interacción para autorizar usuarios, información o trámites en general",,,,,,,,,,
MES 1,BSC,1.0,Aumentó de manera significativa,"Su plataforma es muy lenta, viven dando mantenimiento y despúes es peor el servicio
las personas que atienden en el call center no estan muy bien infortmadas o preparadas.",,,,,,,,,,,
MES 1,BSC,4.0,Disminuyó poco,"Porque por fin me expidieron aunque sea un recaudo de septiembre y octubre de 2023 de la cuenta de ahorros del Edificio Parque Oriente que no me la envían al correo, no llegó al edificio, el asesor parece que ya no trabaja en el banco porque no contesta y ninguna sucursal según dicen pueden expedir el extracto. Así que me sentí afortunada que en esta ocasión por lo menos me dieron el recaudo, aunque tengo derecho a un extracto de la cuenta mensualmente.",Enviar mensualmente el extracto de la cuenta de ahorros en los primeros cinco días del mes para que yo pueda trabajar con él para el cobro de la administración mensual.,,,,,,,,,,
MES 1,Relacional,,,,,,,,,10.0,"las tasas de interes son razonables, la atención es muy oportuna y la comunicación es muy fluida",Aumente,Aspiramos poder crecer en cupos de credito.,"facilidades de comunicacion, soluciones agiles, respuestas oportunas, acompañamiento.","nos sentimos muy bien atendidos por ustedes,  no obstante nos gustaría que nuestra relación creciera., para ello es importante que los análisis par incremento de cupos no fueran tan conservadores"
MES 1,BSC,10.0,Aumentó de manera significativa,Atención oportuna y eficaz,Me siento satisfecho con el servicio,,,,,,,,,,
MES 1,BSC,10.0,Aumentó de manera significativa,"excelente atención, la ayuda brindada por el asesor fue clara y precisa","Lo hicieron excelente, se notó la capacitación del asesor en cuanto a la solución de la petición que teniamos",,,,,,,,,,
MES 1,BSC,7.0,Aumentó de manera significativa,,,,,,,,,,,,
MES 1,BSC,7.0,No hubo cambios,,,,,,,,,,,,
MES 1,BSC,8.0,Aumentó de manera significativa,,,,,,,,,,,,
MES 1,BSC,8.0,No hubo cambios,la banca virtualpide muy seguido cambiar claves y se sale del sistema o laaplicacion sin avisar si uno quiere terminar o continuar,,,,,,,,,,,
MES 1,BSC,10.0,No hubo cambios,"El servicio, la atención, amabilidad y apoyo siempre ha sido excelentes",,,,,,,,,,,
MES 1,BSC,10.0,Aumentó de manera significativa,buen sevicio,,,,,,,,,,,
MES 1,BSC,0.0,No hubo cambios,"Investiguen, comparen con los demás bancos.",Cambien.,,,,,,,,,,
MES 1,BSC,10.0,Aumentó de manera significativa,Atención y respuesta oportuna.,"La diferencia es el servicio y si es claro y preciso, ayuda en la gestión de quién llama con una duda como a quien recibe y evita reprocesos.",,,,,,,,,,
MES 1,Coverage Team,,,,,9.0,No hubo cambios,Muy buena atención,Lo que hacen siempre,,,,,,
MES 1,BSC,1.0,Disminuyó de manera significativa,"Lastimosamente, la información es insuficiente desde hace mas de año, hemos tratado de hacer la cancelación de unos productos financieros de la forma mas amigable, pero no se tiene ningún tipo de ayuda clara, oportuna y eficaz.",mejorar sus políticas de servicio a cliente,,,,,,,,,,
MES 1,BSC,10.0,Aumentó poco,,,,,,,,,,,,
MES 1,Coverage Team,,,,,10.0,Aumentó poco,Ya tenía una buena percepción del banco,Creo que se podría simplificar los procesos por la web,,,,,,
MES 1,Relacional,,,,,,,,,10.0,"Es un banco con muy buena capacidad tecnologica, humana y financiera",Aumente,"Mejorar en temas transaccionales y negocios de CDTS, dado que a veces tienen captaciones abiertas que veo en la pantalla de bolsa y le pregunto al gerente de cuenta ay me dice que es por tesoreria que tienen esa tasa",Buen servicio por parte de Santiago y las personas que se hacne cargo de los negocios que actualmente llevamos acabo,
MES 1,Relacional,,,,,,,,,8.0,Mejoraria la agilidad en las respuestas de algunos procesos,Aumente,,,
MES 1,BSC,5.0,No hubo cambios,,,,,,,,,,,,
MES 1,BSC,10.0,Aumentó poco,,,,,,,,,,,,
MES 1,BSC,8.0,Aumentó poco,,,,,,,,,,,,
MES 1,BSC,10.0,Aumentó poco,,,,,,,,,,,,
MES 1,BSC,10.0,No hubo cambios,,,,,,,,,,,,
MES 1,BSC,8.0,Aumentó de manera significativa,"cuando llamé al numero de contacto, por fin otra persona respondió y atendió mi llamada y no pase ningún contratiempo para direccionar mi llamada",no permitir que todas las llamadas y requerimientos sean atendidos por una máquina,,,,,,,,,,
MES 1,Relacional,,,,,,,,,10.0,"Tiene buena atención, buenas tasas en CDT y un excelente servicio",Aumente,Estoy satisfecha con el servicio y las tasas,"Hay una buena relación con el equipo comercial, y su Gerente Blanca Hernandez, son diligentes y nos han ofrecido un buen servicio",ninguno
MES 1,Relacional,,,,,,,,,8.0,.,Se mantenga,.,.,.
MES 1,Relacional,,,,,,,,,10.0,Siempre hemos obtenido un buen servicio de las personas que nos atienden.,Aumente,Generar tasas competitivas en los productos que se utilizan.,"El Banco Colpatria, cuenta con profesionales competentes que con sus conocimientos prestan un buen servicio.",Colpatria presenta un buen servicio.
MES 1,Relacional,,,,,,,,,1.0,,Disminuya,,,
MES 1,Relacional,,,,,,,,,10.0,Por el servicio oportuno que presta.,Se mantenga,Mejoramiento en Devaluaciones y tasas para Giros Financiados.,"Agilidad en las respuestas, excelente atención por parte del gerente de cuenta.
Atencion telefonica oportuna con la mesa de Dinero Juan David.",Excelente la atencion del Gerente de Cuenta
MES 1,BSC,3.0,Disminuyó poco,LLEVO MAS DE 15 DIAS SOLICITANDO UN CERTIFICADO BANCARIO Y NO HA SIDO POSIBLE PORQUE LA SUCURSAL DON ABRI LA CUENTA YA NO TIENEN PIME Y NO ME SOLUCIONAN,PIDO EL FAVOR ENVIARME LA CERTIFICACION BANCARIA,,,,,,,,,,
MES 1,BSC,8.0,No hubo cambios,"A veces no dan solución a las solicitudes y la atención en oficinas no es muy buena sobre todo en determinadas oficinas
Hoy tengo inconveniente con el pago de servicios públicos que a pesar de estar programados no se pagan",que haya solución a la solicitud,,,,,,,,,,
MES 1,BSC,10.0,Aumentó de manera significativa,"La atención y asesoría que me brindo el funcionario fue clara,","Retirar el cobro de la banca virtual y que el asesor asignado a la cuenta en referencia sea efectivo, pues no contamos con este apoyo. No envían los extractos bancarios y en las oficinas ponen mucho problema para obtener información. En este sentido, el Banco Scotiabank esta funcionando mal",,,,,,,,,,
MES 1,BSC,5.0,No hubo cambios,,,,,,,,,,,,
MES 1,Coverage Team,,,,,10.0,Aumentó de manera significativa,Plataforma amigable,Respuestas más agiles de los asesores de cuenta,,,,,,
MES 1,BSC,10.0,No hubo cambios,,,,,,,,,,,,
MES 1,BSC,10.0,Aumentó de manera significativa,la atencion fue excelente y se resolvio todas las inquietudes y solicitudes requeridas por la empresa .........................................................................................................................................................................................................,,,,,,,,,,,
MES 1,Coverage Team,,,,,9.0,Aumentó poco,,,,,,,,
MES 1,Relacional,,,,,,,,,8.0,"Banco de buen respaldo, dispuesto a entender y ofrecer solución a las necesidades particulares del cliente corporativo.",Se mantenga,"Mejorar el portal empresarial; Doble factor de autenticación (token), funcionalidades en la administración de perfiles y usuarios.","Excelente disponibilidad de los gerentes de la banca corporativa, y demás directivos",
MES 1,BSC,8.0,Aumentó de manera significativa,El contacto con la mesa de directo es mas eficiente,Una asesor en especifico,,,,,,,,,,
MES 1,BSC,9.0,No hubo cambios,,,,,,,,,,,,
MES 1,BSC,9.0,No hubo cambios,Estoy calificando al Banco muy favorablemente.,Hacer más amigable su sistema de banca virtual para empresas. Es muy complejo de utilizar.,,,,,,,,,,
MES 1,BSC,6.0,Disminuyó poco,no hay información clara sobre los descuentos realizados en la cuenta empresarial,"brindar una información mas clara, acorde a los requerimientos, desglosar adecuadamente los descuentos realizados, capital intereses, otros cobros",,,,,,,,,,
MES 1,BSC,10.0,Aumentó de manera significativa,,,,,,,,,,,,
MES 1,BSC,10.0,Aumentó de manera significativa,La atención telefónica es excelente,,,,,,,,,,,
MES 1,BSC,10.0,No hubo cambios,,,,,,,,,,,,
MES 1,BSC,9.0,No hubo cambios,,,,,,,,,,,,
MES 1,BSC,10.0,Aumentó poco,Obtuve respuesta oportuna,EL servicio de pagos via pse no esta funcionando,,,,,,,,,,
MES 1,BSC,1.0,Disminuyó de manera significativa,"Porque desde tiempo atrás vengo administrando la propiedad horizontal, me he acercado a las oficinas del banco y he registrado mi firma y entregado los documentos que me acreditan como representante legal, pero a la fecha no me ha sido posible que me asignen  usuarios para el uso de la plataforma bancaria, por el contrario me dicen que no soy la administradora y que los usuarios continúan asignados al administrador anterior, sin recibir una solución oportuna.",,,,,,,,,,,
MES 1,Coverage Team,,,,,10.0,Aumentó de manera significativa,fueron oportunos y claros,bajar las tasas,,,,,,
MES 1,BSC,10.0,Aumentó de manera significativa,porque el agente que atendio    persevero  todo el  tiempo sin alterarse hasta resolver de  forma exacta mi necesidad,por ahora esta todo muy sincronizado  y eso me encanta,,,,,,,,,,
MES 1,BSC,8.0,Disminuyó poco,Porque el acompañamiento no ha sido el idoneo por parte del asesor,Brindar capacitaciones presenciales y acompañamientos ideones,,,,,,,,,,
MES 1,BSC,10.0,No hubo cambios,AUNQUE SE DEMORO LA RESPUESTA LA ATENCION DE LA PERSONA FUE MUY OPORTUNA Y PROFESIONAL,,,,,,,,,,,
MES 1,Relacional,,,,,,,,,8.0,Aún se puede mejorar el servicio,Disminuya,"Responder a las consultas con mayor celeridad, resolver los problemas más rápido",,
MES 1,BSC,10.0,Aumentó de manera significativa,Plataforma amable y segura,,,,,,,,,,,
MES 1,BSC,9.0,Aumentó de manera significativa,,,,,,,,,,,,
MES 1,Coverage Team,,,,,10.0,Aumentó de manera significativa,,,,,,,,
MES 1,Relacional,,,,,,,,,10.0,Excelente acompañamiento en los proyectos de la compañía,Aumente,Ya estamos en proceso,Tenemos muy buena relación con el gerente y con el área de credit solution lo que ha permitido,
MES 1,BSC,1.0,Disminuyó de manera significativa,Estuve en la oficina de Fontibon incluso tomé la decisión de cerrar mi cuenta personal por la pésima Atencion de sus funcionarios empezando por el director  administrativo que tiene su oficina en el segundo piso a él recurri para quejarme por todo lo que me hizo pasar un asesor los únicos que me dieron una buena atención fue el que me entregó mi cheque en caja tuve que pasar tres horas la primera vez y la segunda vez dos horas para toda la Gestion que debía realizar incluso quiero cambiar mis dos cuentas que tengo allí para la oficina de Chia adicional vivo en Funza y para mí es muy complicado desplazarme hasta Fontibon para recibir tan pésima atención el cliente vale poco para este Banco,"Que tengan oficinas en Funza ,Mosquera o Madrid y que la atención sea más rápida sobre todo para clientes que tengan cuentas que se note que les importa el cliente",,,,,,,,,,
MES 1,Relacional,,,,,,,,,10.0,"El relacionamiento, la seriedad y estabilidad del banco es algo que valoramos mucho.",Aumente,mejores tasas de captación y en cuentas de ahorro,la cercanía que nos brinda nuestro gerente de cuenta y el conocimiento con el que cuenta al momento de hacer negocios,
MES 1,BSC,1.0,Disminuyó de manera significativa,no hay apoyo por parte del asesor de cuenta,Apoyar por parte del ejecutivo de cuenta a la compañia,,,,,,,,,,
MES 1,Relacional,,,,,,,,,9.0,"Porque el servicio es excelente, siempre están dispuestos a colaborar con cualquier inquietud o problema que tengamos con transferencias, chequeras, con la plataforma. Es un equipo muy dispuesto.",Aumente,"Esperamos que continúen haciendo mejoras a la nueva plataforma de ScotiaConnect. Hemos tenido varios tropiezos con la implementación y a la hora de hacer pagos no ha sido siempre fácil. Sin embargo, hemos contado siempre con el apoyo del personal de soporte cuando hemos requerido. Lo que pasa es que toma bastante tiempo el proceso de solución del inconveniente.","El gerente de cuenta y su equipo están muy pendientes de nuestras necesidades. Cuando los contactamos, nos colaboran de manera ágil o nos dicen en qué ventana de tiempo debemos recibir respuesta y por lo general cumplen. Creo que realmente son un aliado, que nos escucha y busca soluciones que nos sean útiles. ¡Muchas gracias!","En general, estamos muy satisfechos con el servicio de Scotiabank Colpatria. Son muy diligentes y cuidadosos con su cliente. Se esfuerzan y siempre están dispuestos a brindar un buen servicio. ¡Gracias!"
MES 1,BSC,1.0,Disminuyó de manera significativa,"Nunc solucionan nada a tiempo, la verificacion de datos es sumamente lenta, una llamada con ustedes es eterna",muchas cosas entre ellas tener mas agilidad en los procesos,,,,,,,,,,
MES 1,BSC,10.0,Aumentó de manera significativa,"porque me solucionaron el problema, tuve un error en el formulario y el gerente de cuenta estuvo muy pendiente en todo el proceso, tengo que volver a llamar para que me ayuden y volver a inscribir la cuenta de codensa y tambien para poder pagar por PSE",siempre han estado muy atentos en resolver todas la dudas y problemas que tengo con las cuentas que manejo con Scotibank Colpatria.,,,,,,,,,,
MES 1,BSC,1.0,Disminuyó poco,"no me resolvieron, no he podido utilizar la banca empresarial",resolver más rapido los temas de banca empresarial,,,,,,,,,,
MES 1,Relacional,,,,,,,,,9.0,Es un banco confiable,Se mantenga,Innovar en mecanismos de recaudo,Es un excelente profesional y todo el equipo siempre esta atento a las necesidades de la compañía,
MES 1,Relacional,,,,,,,,,10.0,Por el servicio oportuno y personalizado,Aumente,,,
MES 1,Coverage Team,,,,,10.0,Aumentó de manera significativa,"Atención pronta, excelente y oportuna",Por mi así está perfecto,,,,,,
MES 1,Coverage Team,,,,,8.0,No hubo cambios,Soy muy colaboradores,La plataforma,,,,,,
MES 2,BSC,10.0,Aumentó de manera significativa,PSI,PSI,,,,,,,,,,
MES 2,BSC,10.0,Aumentó de manera significativa,Muy buena atencion,,,,,,,,,,,
MES 2,Coverage Team,,,,,3.0,Aumentó poco,"Pues al menos pude hacer los pagos de PSE que no habia podio, pero se me dificulta mucho recomendar al banco por el portal empresas, es supremamente difícil de usar.","Implementar un nuevo portal para empresas que sea intuitivo. O al menos, como mínimo, parecido al de otros bancos; es que el de ustedes, que pena, pero es perversamente malo.",,,,,,
MES 2,BSC,8.0,Aumentó poco,,,,,,,,,,,,
MES 2,BSC,10.0,No hubo cambios,ESDFGHJKLÑ,AQWSEDRFTGHYJK,,,,,,,,,,
MES 2,BSC,0.0,Disminuyó de manera significativa,"desde el 30 de octubre se presentaron problemas con el codigo OTP para realizar los pagos de nomina y proveedores. No llegaba a tiempo al correo electrónico y no se pudo realizar los pagos. el 31 de octubre hablé con 5 personas para que me ayudaran con el tema y de tantos intentos se bloqueó el usuario oficial, con tan mala suerte que no se lograron hacer los pagos y hoy siendo 1 de noviembre 3 pm no se recibe ningun comunicado al respecto. Seguimos sin servicio.",mejorar los tiempos de respuesta para la entrega del codifo OTP en el correo electrónico y que la recuperación de claves sea inmediata.,,,,,,,,,,
MES 2,Coverage Team,,,,,6.0,No hubo cambios,,,,,,,,
MES 2,Coverage Team,,,,,10.0,Aumentó de manera significativa,,,,,,,,
MES 2,BSC,6.0,Disminuyó poco,"No pude hacer pagos el 31 de octubre porque las OTP llegaban a los 45 minutos sea a celular o email y me dijeron que la plataforma estaba saturada.  Eso no es problema mio ni de mis proveedores.  No pagué a tiempo, incurrí en sobrecostos y quedé mal con mis proveedores.  Muchas excusas pero todo en este país funciona así.  Espero no me cobre fees bancarios este mes o me van a reembolsar mis sobrecostos?",Que no se caiga su sistema.  Deben preveer altos en volumen.,,,,,,,,,,
MES 2,Coverage Team,,,,,8.0,Disminuyó de manera significativa,,,,,,,,
MES 2,BSC,7.0,Disminuyó poco,Tardanza en la guía para usar canales digitales.,Mejorar y hacer mas efectivos los tiempos de respuesta,,,,,,,,,,
