index,segment,answerDate,NPS,impactInteraction,reason,improvement
20,Segmento 2,MES 1,1,5.0,"Muy triste que no escuchen al cliente, una gestión de cobranza totalmente grosera y fuera de lugar sin entender realmente qué es lo que pasa con la cuenta. Se llama a Servicio al Cliente y me colgaron dos veces y por alguna razón solo una persona me ayudó que es Diana Daza, ella espectacular. El resto terrible","Solo Diana Daza me está ayudando, espero con ella tener más éxito pero el nivel de servicio al cliente totalmente inaceptable y un mal trato."
21,Segmento 3,MES 3,0,1.0,Soy un cliente PREMIUM supuestamente. Lo prometido no se ha cumplido y llevo más de 1.5 meses esperando la tarjeta débito de mi categoria,Cumplir lo prometido
22,Segmento 1,MES 3,1,1.0,"Mal servicio en las oficinas
Los empleados no atienden bien",Preocuparse por el cliente
23,Segmento 1,MES 1,0,1.0,"No existe sistema de escalamiento de problemas, cuando llamas los agentes tienen que solucionar, si el problema no lo resuleven te mandan al banco. Un ejemplo, tengo un problema donde no puedo hacer ningun movimiento digital, lo ideal es que exista un area de escalamiento, no todo es ""vaya al banco"".",Mejoren el escalamiento.
24,Segmento 1,MES 1,0,1.0,Cambian las políticas para los clientes y no puede cancelar los productos casi que te obligan a quedarte a la fuerza,Mantener las políticas que se ofrecen cuando se toman los productos.
25,Segmento 1,MES 3,0,1.0,Muy mala antencion y poca solucion,Tener soluciones a tiempo y no cuando ya no hay nada que hacer aaaa y cambiar siertos asesores que no sirven sino para calentar puesto. Bien dice el dicho quien no nace para servor no sirve para vivir.....
26,Segmento 1,MES 3,5,1.0,"Porque he tenido demasiados inconvenientes para poder usar la cuenta de ahorros, es más, aún no la puedo usar.","Necesito que desbloqueen la cuenta para poderla utilizar. Ya fui personalmente a una sucursal y perdí demasiado tiempo y para nada, porque el que me atendió dijo que en 1 hora,ya quedaba desbloqueada y fue mentira."
27,Segmento 1,MES 2,0,1.0,"No envían los extractos, y hacen débitos sin aurizacio",Solucionar el problema de los extractos
28,Segmento 1,MES 2,4,5.0,Cuando uno retira dos veces se bloquea,.
29,Segmento 1,MES 3,0,1.0,Porque por empezar las personas de la oficina de centro mayor no dan opción de realizar el proceso y lo direccionan a sitios donde nadie contesta y atiende,
30,Segmento 1,MES 3,0,1.0,"Es un problema comunicarse a una línea, pide un código que tampoco da  ,nadie le ayuda, ni siquiera yendo al mismo banco.","Tener lineas directas, sin tanto trámite de códigos, ni nada"
31,Segmento 2,MES 3,0,5.0,"No me sentí con el acompañamiento debido, vi mucho desorden desde que inicié el procesó hasta el mismo desembolso fue fuera de los tiempos pactados entre muchas otras cosas. Por otra parte nos acabamos de percatar que la tasa que firmamos en la notaría junto con las escrituras es muy diferente a la tasa que nos aparece en la aplicación al consultar el crédito. Cómo se podemos abordar esta diferencia, dado que es muy significativa entre lo prometido al tomar firmas y lo que nos aparece en este momento.","Necesito que por favor se contacten conmigo para resolver la tasa prometida versus la tasa que actualmente nos aparece en el crédito, hubiera sabido hubiera tornado el crédito con otra entidad."
32,Segmento 1,MES 1,1,5.0,"No pude resolver la activacion de la tarjeta, sin dirigirme a una sucursal,","mejorar los canales, porque ni los virtuales funcionan para actividades basicas como actualizar datos"
33,Segmento 1,MES 2,1,2.0,No solucionan los problemas cuando saben que si existen y que pasan seguido,
34,Segmento 1,MES 1,0,1.0,Me toco pagar cuota de manejo de una tarjeta que nunca me entregaron,Que ojalá algún día me devuelvan la plata
35,Segmento 1,MES 3,1,1.0,Llevo más de media hora intentando comunicarme con ustedes y no ha sido posible. Nadie contesta sus líneas de servicio al cliente,Contestar
36,Segmento 1,MES 1,0,1.0,No brindan una solución al cliente,
37,Segmento 1,MES 3,1,1.0,"Teniendo una tarjeta de crédito dónde en su contrato mencionaba que la podía utilizar en cuál quiere momento, con una fecha de expiración hasta el 2027 y después de dos años la voy a utilizar y me salen con el cuento de que me la suspendieron por no usar.
Que falta de respeto.",Tener la potestad de solucionar los problemas de parte de los asesores
38,Segmento 1,MES 3,5,3.0,"Para cancelar la factura de la TC tengo muchos inconvenientes. Faltan puntos de atención, mas corresponsales.",Mas informacion interna para que las personas que atienden al usuario les resuelvan las inquietudes.
39,Segmento 1,MES 2,3,1.0,Cada vez que intento comunicarme es mas difícil porque me pide un montan de claves que deben llegar a mi correo y no llegan y no logro siquiera hablar con un asesor,La tecnología es muy buena y la seguridad también pero no son amigables e impiden el acceso a hablar con un asesor que pueda entender mejor la situación que se quiere exponer para dar solución
40,Segmento 1,MES 3,0,1.0,Es una extorsión el uso de la tarjeta de crédito. Atar la cuota de manejo a 10 compras es inaudito.,"Hacer mejor uso de la tecnología, en favor del cliente."
41,Segmento 1,MES 2,6,2.0,Porque no me llegan los extractos físicos para el pago correspondiente. Que es lo acordado. Y porque la atención en la oficina para asesoría al cliente es demasiado demorada.,"Enviar mi extracto físico a tiempo para poder pagar. 
Atención al cliente en la oficina con más agilidad
Atención más ágil en el elefono"
42,Segmento 3,MES 1,4,1.0,No permiten hacer pagos PSE de los créditos desde otras cuentas bancarias diferentes a las de Scotiabank Colpatria. Termina obligado a tener que ir a una oficina exponiéndose a muchos riesgos,Mejorar ese inconveniente que tienen ustedes con su pasarela de pagos para que permita hacer pagos interbancarios de las obligaciones financieras. Los demás bancos lo permiten realizar sin problema.
43,Segmento 1,MES 1,2,3.0,"me han bloqueado mi tarjeta de credito varias veces SIN avisarme, en la ultima llamada el tiempo de espera para que me solucionaran el problema fue de mas 23 minutos!!! y tuve que hablar con 2 personas que repiten las preguntas",que los tiempos de espera sean muchooooo menores
44,Segmento 1,MES 2,5,2.0,,
45,Segmento 1,MES 3,0,1.0,Muy demorado en contestar,Es el colmo q media hora para q contesten
46,Segmento 3,MES 1,0,5.0,"Por varias razones, la principal y más importante es demasiado tiempo de parte de Colpatria para los trámites de escritura y desembolso,  no por parte de la constructora, pero la principal es la mala experiencia con IQ la parte legalizadora, en mi caso muy incompetente la señora Gloria Pilar Guzman a quien le escribí en varias ocasiones y no me respondia nada y después de varios dias me solicitavba documentos que ya le habia enviado.","A mi ya nada, pero de verdad mejoren en tema de legalización, otros bancos ofrecen mayor efectividad."
47,Segmento 1,MES 2,0,1.0,"Nunca se me han transferido las millas que he acumulado a la cuenta LifeMiles, tasas altísimas en comparación con otros bancos, cobran cuota de manejo por comprar a una cuota, si hay compras anteriores diferidas, cosas que ningún banco había hecho",Poner asesores competentes que resuelvan en vez de dar disculpas solamente
48,Segmento 1,MES 3,0,5.0,No atienden,Extracto de cuenta
49,Segmento 2,MES 2,0,1.0,Publicidad engañosa,No colocar publicidad engañosa
50,Segmento 1,MES 2,6,1.0,No me resolvieron de manera significativa un reclamo que realicé respecto a un seguro de vida que nunca tomé.,Comunicarse conmigo y brindarme un trato más abierto y considerado que contribuya a resolverme el problema de manera efectiva.
51,Segmento 1,MES 2,0,1.0,"El servicio al cliente es horrible, venden publicidad engañosa y las llamadas son eternas",Dar soluciones y que los agentes no cuelguen las llamadas
52,Segmento 2,MES 3,3,2.0,Demorada la atención,"Atender de manera oportuna , la espera fue como de 40 min"
53,Segmento 2,MES 1,0,1.0,Porque es imposible que den una solución.,Que cada persona que trabaje en este banco se ocupe de solucionar el problema del cliente
54,Segmento 2,MES 3,1,3.0,"Por que la seguridad de la información es muy mala. En varias ocasiones me han intentado estafar con mi tarjeta de crédito y saben toda mi información. Yo siempre ingreso desde el mismo computador con la red de mi casa. Y este es seguro. No entiendo como
 se roban mis datos .",
55,Segmento 2,MES 3,6,5.0,No me han solucionado los inconvenientes que se han presentado con mi tarjeta y otros.,Nada. Espero poder cancelar las deudas lo más pronto.
56,Segmento 1,MES 2,6,1.0,"LLEVO MAS DE 20 DIAS ESPERANDO QUE ME ENTREGUEN UNA TARJETA CREDITO CUYA RENOVACION DEL PLASTICO ME CARGARON DESDE OCTUBRE 12. 
EN LAS OFICINAS DONDE SE TIENE LA CUENTA ES MUY DEMORADO EL PROCESO PARA QUE LO ATIENDA UN ASESOR","MEJORAR LA ATENCION CONTRATANDO UNA EMPRESA DE MENSAJERIA MAS EFECTIVA
MEJORANDO EL TIEMPO QUE SE TIENE QUE ESPERAR PARA QUE UN ASESOR LO ATIENDA EN LA OFICINA DONDE SE TIENE LA CUENTA"
57,Segmento 2,MES 1,1,1.0,"El servicio es mediocre y el respeto por los clientes no existe, antes Colpatria era muy bueno. Hoy en día no lo atienden a uno, ni hay un departamento de Servicio al cliente, no hay jefes ni líderes, para orientar a los funcionarios","Instruir a los funcionarios para solucionar los inconvenientes de los clientes 
No hay jefes para orientar y dar soluciones a nosotros los clientes. El sistema es muy deficiente, nadie atiende y no hay respeto"
58,Segmento 2,MES 1,3,2.0,"Atencion aceptable , resultado espantoso",Enviar mi tarjeta
59,Segmento 1,MES 2,0,1.0,Primeramente no me dan solucion de la aplicacion llevo varios dias si poder ingresar y nadie da solucion,Solucionar mi problema
60,Segmento 1,MES 3,0,1.0,Cada vez me generan mayor desconfianza,"Irse de Colombia, es el peor banco que hay, tratan a los clientes como basura, nunca dan explicación de las decisiones que toman afectando a los clientes. No es un banco transparente"
61,Segmento 1,MES 2,0,5.0,"Despues de realizar las pagos totales de la tarjeta, despues se cargan dineros adicional.",
62,Segmento 1,MES 1,0,1.0,Por que me llegó un correo electrónico donde me dice que a partir del mes de diciembre debo hacer 7 transacciones al mes para estar exento de la cuota de manejo,Exoneración de cuota de manejo 100%
63,Segmento 1,MES 2,0,1.0,No  me dieron solución,Tener soluciones una oficina en buga dónde se pueda gestionar todo o que habiliten canales para hacer estás gestiónes en linea
64,Segmento 2,MES 3,0,1.0,"No hacen las cosas de manera correcta, como es que en una devolución de una compra internacional uno tenga que llamar para que le quiten la comisión cobrada y adición perjudican al usuario con la diferencia en cambio. Ultima vez con este banco",Solucionar el problema
65,Segmento 1,MES 1,4,2.0,Muy difícil la comunicacion,
66,Segmento 1,MES 3,0,1.0,"llamo porque me roban plata de la tarjeta de crédito y primero para que contestaran fue una tortura tanto que los delincuentes alcanzaron a dejar en limpio la tarjeta y si la comunicación hubiese sido asertiva con ustedes se hubiera podido bloquear oportunamente la tarjeta, pero no todo fue una traba y la incompetencia de los que me contestaron fu de una forma monstruosa",nunca están disponibles y cuando lo están se corta la llamada
67,Segmento 1,MES 1,6,2.0,Porque la llamada se cae y a veces la contestadora no coge la información que uno digita bien,Que mejoren la conexión a las llamadas y la contestadora
68,Segmento 1,MES 3,1,5.0,Malisima la atención,Cambien personal
69,Segmento 1,MES 2,5,2.0,No entiendo porque la información no se maneja de manera unificada en sus canales de atención. En la linea dicen algo y luego en la oficina dicen que no es asi.,
70,Segmento 1,MES 1,6,2.0,"Tuve un problema con operación reversada. En cada llamada siempre se me dió información diferente, imprecisa, me hicieron bloquear la TD, ya ni recuerdo si fue esta, pero me hicieron esperar más de 45 minutos, y al final me cortaron la llamada","La segunda llamada me dijeron que la operación estaba reversada que no me preocupara, pasadas 48 hábiles, nada, el dinero aparecía como retirado. Recomendación: hacer el reverso dentro de lo estipulado"
71,Segmento 1,MES 3,4,2.0,No solucionaron todos los problemas y las llamadas se cortan y no devuelven las llamadas,Tratar de evitar que se desconecten las llamadas. O si eso pasa que devuelvan las llamadas para continuar con el mismo asesor
72,Segmento 2,MES 1,0,1.0,Los asesores no están interesados en dar soluciones efectivas a las necesidades de los usuarios,Nada. Con el banco la relación está terminada
73,Segmento 1,MES 3,0,1.0,"Porque después de horas al teléfono y varios días llamando es imposible que me comuniquen con el departamento de riesgo para que me solucionen una transacción a otra entidad por pse, código CUS.
Siempre dicen que me van a devolver la llamada y hasta el día de hoy nada.
Absurdo que no pueda hacer un pago por pse desde mi cuenta de ahorros.",Comunicación rápida y fácil con el departamento de riesgo.
74,Segmento 1,MES 2,4,1.0,"He tenido muchos problemas con la cuenta, tanto para devoluciones como para que me solucionen inconvenientes en pagos","Está atención me gustó, pero las veces pasadas, siento que no atienden bien, además, que lo dejan a uno con dudas y sin soluciones"
75,Segmento 1,MES 3,0,1.0,Porque no da solución a nada solo espere y espere en linea,
76,Segmento 2,MES 2,2,1.0,No me dieron respuesta ni me ayudaron con mi caso,Aclararle a uno la situación y darle alguna explicación clara
77,Segmento 2,MES 1,0,1.0,Nadie sabe nada todos se tiran la pelota y no dan respuesta a nada,Cambiar a todos y capacitarlos cada empleado maneja una versión
78,Segmento 1,MES 2,0,1.0,Me bloqueron la tarjeta de crédito y no se solucionó el bloqueo,Que el audio respuesta sirva para algo. Que conteste rápido y no lo pongan de opción en opción que no va para ningún lado. Que servicio tan malo
79,Segmento 1,MES 3,1,1.0,Porque atención al usuario nunca responden para uno aclarar algo nunca pero nunca contestan,Como un número que conteste o un medió que le contesté lo que uno nesesita
80,Segmento 1,MES 1,6,5.0,Cobros inesperados.,
81,Segmento 1,MES 2,0,1.0,No son claros con la información y enredan de la forman en como ofrecen los servicios para atraparlo a uno y luego salen las sorpresas,
82,Segmento 1,MES 3,1,1.0,Fuy a realizar un pago coni tarjeta y nadie pudo ayudarme,Solucionar
83,Segmento 1,MES 2,2,1.0,,
84,Segmento 1,MES 3,0,1.0,Pésima la atención,Hagan las cosas mejor
85,Segmento 1,MES 2,2,1.0,Porque.engañsn al cliente,
86,Segmento 1,MES 2,0,1.0,"Porque ustedes ofrecer propaganda falsa y esto lo debe saber la super intendencia. Me tocó devolver una tarjeta que me metieron obligado y ni la utilice y me tocó REGALARLES 35.000 de cuota de manejo, como si no robaran a todos los clientes","No dar mala información, porque de esa manera se quedan con la plata de los clientes. LADRONES"
87,Segmento 1,MES 1,0,1.0,"A  COLPATRIA LE IMPORTA UN CULO  LOS CLIENTES Y CUANDO SE EQUIBOCAN  LES VALE MIERDA  Y QUE EL CLIENTE SE JODA. 
NO IMPORTA LOS CORREOS A ATENCION AL CLIENTE NI LAS LLAMADAS A LOS  ASESORES QUE NO SABEN TRATAR AL CLIENTE Y NO SABEN NI SOLUCIONAN NADA","IGUAL COMO MIS CORREOS Y LLAMADAS LO VAN A IGNORAR POR QUE COLPATRIA TRATA COMO UNA MIERDA A NOSOTROS LOS CLIENTES.
POR ELLO SOLO QUIERO TERMINAR  DE PAGAR MIS OBLIGACIONES Y MIGRAR O ESPERAR QUE ME COMPRE OTRO BANCO MI CARTERA Y CHAO... SON LO PEOR"
88,Segmento 1,MES 2,0,1.0,La demora en recibir la atención del asesor.... Fue de más de 42 minutos y luego la manera de atender es algo agresiva o muy poca atención a la necesidad del usuario....,Disminuir el tiempo de espera y que la atención sea más amable...
89,Segmento 2,MES 2,0,1.0,Ustedes me cobran doble facturacion y me quieren hurtar un millon seiscientos mil pesos,"DEVOLVIENDOME UN MILLON SEISCIENTOS MIL PESOS, QUE USTEDES ME QUIEREN HURTAR"
90,Segmento 1,MES 2,4,1.0,Cambiaron las condiciones iniciales que prometieron,
91,Segmento 1,MES 2,2,1.0,Tengo mi tarjeta bloqueada desde hace una semana me dicen que vaya a la oficina voy a la oficina dicen que tengo que actualizar mis datos y después dice que lo intenté hacer tres veces y que no me la pueden desbloquear porque estoy en un puente festivo o sea tengo que esperar hasta el martes esto es terrible la ineficaz la No no tengo nada que decir nada bueno,
92,Segmento 1,MES 2,0,1.0,,Mejorando los canales de atencion
93,Segmento 1,MES 3,0,1.0,,
94,Segmento 1,MES 3,6,4.0,Mucha de mora en contestar,Que haga más personas atendiendo
95,Segmento 1,MES 2,0,1.0,Son unos ladrones con sus cuotas de manejó.,"Nada.
Son ladrones"
96,Segmento 1,MES 3,0,5.0,,
97,Segmento 1,MES 1,0,1.0,No es posible realizar mis gestiones a través de sus canales de atención,
98,Segmento 1,MES 2,6,2.0,,
99,Segmento 2,MES 2,0,1.0,"Por que en la linea de atención al cliente si uno no recuerda la clave, no hay poder humado de volverla a reestablecer y por tanto uno no se puede comunicar con nadie en dicha empresa.","Que el cliente se pueda comunicar, facilitar un poco mas el proceso de comunicacion"
100,Segmento 2,MES 2,2,1.0,"Primero la asesora me dejo hablando sola, colgó; segundo no tenia idea de lo que le estaba preguntando, no sabia ni que decirme, le preguntaba una cosa y contestaba otra.
Quede con las mismas dudas que tenia antes de llamar.
Entiendo que en un momento no tenga la información, pero en lugar de decir cualquier cosa infórmese y de la información de forma correcta","Preparar mejor a los asesores, tener oficinas cerca para que uno pueda acercarse y tener la información correcta de primera mano. Quitaron la oficina y cajero de Toberin, ya no hay oficinas cercanas que no impliquen coger transporte"
101,Segmento 1,MES 2,1,1.0,Muy acosadores al momento de pasarse un día en el pago de alguna obligación.,Ser mas comprensivos en que los clientes hay momentos que también tienen otra obligaciones o muchas veces en la fecha de pago no se cuenta con recursos económicos. Muy acosadores con la cobranza pésimo banco comparado con otros.
102,Segmento 1,MES 2,3,2.0,No me dieron solución en la línea de atención al cliente.,Dar solución x línea cuando el cliente tenga inconvenientes con la plataforma y aún más si es para cancelar los productos
103,Segmento 2,MES 1,2,2.0,"Me cancelaron mi tarjeta de crédito sin previo aviso. Me enviaron una nueva sin que el banco notificarme, cuando el transportador se comunicó no le recibí, previniendo un posible fraude. Ahora quiero realizar el cambio y me informan que tengo que actualizar datos y únicamente lo puedo hacer personalmente en una oficina.","Informar si van a realizar un cambio de plástico.
Habilitar trámites como actualización de datos en línea.
Disminuir costos como cuota de manejo."
104,Segmento 1,MES 3,0,1.0,"He querido cancelar mi tarjeta, no me lo permiten en oficina y virtual por la página,  menos.","Que me atiendan para cancelar la tarjeta que no uso, no la necesito y si estoy pagando una cuota muy alta de manejo."
105,Segmento 1,MES 3,0,1.0,"que banco tan de caca, me voy a cambiar, da pereza, y más con un banco taaaaaan lento, pero a largo plazo es mejor. USH horrible ir a una oficina, perdida de tiempo total","SER más rapidos. Y ya, me voy de este banco de caca, tras de tienen la plata de uno son asi. tenaz"
106,Segmento 1,MES 1,0,1.0,"Me llamaron a ofrecerme una tarjeta de crédito, la acepte con la solicitud desde un inicio que me enviaran una tarjeta amparada para mi esposo , sin embargo no cumplieron con li ofrecido. El sabado nos vamos de viaje y estas son las alturas en que todavia no me llega la tarjeta amparada",Mandarme la tarjeta amparada que solocote antes del sabado y que cunplan con todos los beneficios que me ofrecieron al tener la tarjeta
107,Segmento 1,MES 2,0,5.0,por que llama uno da los datos de la contestadora y todo sale invalido cosa imposible no en tiendo por que un asesor lo atiende pero una maquina que bota error por toda la llamada no tiene sentido y una si pierde tiempo hasta 3 días intentando y sin respuesta alguna,pues que un asesor atienda las llamadas cuando la contestadora no funcione a toda hora bota error y entres días lo mismo no puede ser uno pierde tiempo y no resuelve la situación
108,Segmento 1,MES 1,1,1.0,Llevo 3 meses con mi TC bloqueada y por ningún medio me ayudan a solucionar el problema.,"Solucionarme y el desbloqueo de mi TC,que la fecha no entiendo el motivo por el cuál no la puedo utilizar,he ido de manera presencial y por teléfono y nadie me da solución"
109,Segmento 1,MES 3,0,1.0,"La atención fue súper déspota. Además, un día atrás me acababan de desocupar mi cuenta de ahorros.",Tener en cuenta al cliente
110,Segmento 1,MES 1,0,1.0,"La señorita no tenía conocimiento de nada, estaba distraída desde el inicio a lo que uno le preguntaba, se notaba un tono burlesco y se demoró mucho en la llamada. Se notaba que deseaba salir de la llamada","Escucha activa, y que esten informados de los procesos y mas seriedad, no hablar en tono desafiante"
111,Segmento 1,MES 2,0,2.0,Porque no dan información veraz,Arreglar el sistema y dejar de cobrar comisiones por problemas de ustedes porque si una tarjeta tiene saldo y es rechazada por fondos insuficientes es problemas de ustedes no del cliente más aún cuando sus contestadoras dicen pase la tarjeta que está normal y es información errada pues vuelve y rechaza
112,Segmento 1,MES 1,5,1.0,Por q estuve pidiendo una ayuda para un inconveniente q tube y no me solucionaron nada,Llamarme para explicarles
113,Segmento 1,MES 2,2,1.0,Me realizaron una transacción  con mi tarjeta Platinum mastercard y en esta oportunidad la llamada de antifraude me la realizaron 40 minutos después  de que aprobaron  la transacción.,Realizar investigación  oportuna y rapida al comercio al cual se realizo la compra por internet .
114,Segmento 1,MES 1,3,1.0,"Llevo tiempo tratando de comunicarme por qué no he podido activar mi cuenta y no se puede, el canal de comunicación con Scotiabank es muy difícil.
Quedaron de entregarme el plástico de mi cuenta de ahorros y tampoco lo hicieron.
Mi tarjeta de crédito no tiene lo mismo que ofrecieron.
Mal servicio",Prestar un metro servicio
115,Segmento 1,MES 1,3,1.0,La línea de atención al cliente es súper demorada para comunicarse con un asesor.,"Mejorar el tiempo de espera en las llamadas, mucha congestión."
116,Segmento 2,MES 2,0,1.0,Muy mal servicio ducen mejtiras engañan al cliente inducen al error enviando formatos desactualizados y solicitan enviar información a correos falsos,Que su gente conozcan los  procedimientos y los formatos en uso y los correos que dejen de decir mentiras sobre estos temas
117,Segmento 1,MES 1,3,2.0,no ok.,nada
118,Segmento 1,MES 2,1,1.0,"Porque no son claros en dar la información a los clientes y se evidencia que cada asesor da la información a su manera de ver más no lo hacen de manera unificada, como es posible que me dice la asesora que me atendió el 14 de noviembre que me dan respuesta a mi correo en 4 días hábiles y la segundo que me atendió me dice que son 12 días hábiles, también le pregunté si tendría incrementos por mora si no pagaba el día 20 de noviembre que era la fecha limite y me responde que no hay inconveniente, mientras que la otra chica me dice que inmediatamente que me pase de la fecha limite me estarían incrementando el valor por cada día de mora","Primero que todo sugiero respeto por los clientes y más aun cuando soy un cliente de muchos años con esta tarjeta, que siempre estoy realizando compras, pero al parecer no les interesan los clientes como yo, lo mejor que puedo hacer es que apenas pueda me retiro de esa tarjeta que manejo con ustedes"
119,Segmento 3,MES 3,0,3.0,,
120,Segmento 1,MES 3,5,3.0,No utilizo casi nunca las tarjetas de crédito,
121,Segmento 1,MES 2,5,1.0,Realmente me parece algo molesto q le exigen  al cliente un monta de compras.la económia  no  está fail debería pensarlo mejor porque así lo mejor es entregar  la tarjeta,No poner condiciones de compra eso lo desmotiva al cliente
122,Segmento 1,MES 1,1,1.0,Falta de facilidad y herramientas en la app del banco para detalles específicos de tarjeta credito,"Mejorar la app, los otroa bancos son mejores en ese sentido"
123,Segmento 1,MES 3,0,2.0,Malo el servicio app,Malo app
124,Segmento 1,MES 3,5,3.0,"Poca atención y amabilidad, no dan oportunidades diferentes","Mejorar el servicio, de todas maneras pienso cancelar la cuenta con ustedes y pasarme a otro banco más accequible, menos costoso, con mejores oportunidades"
125,Segmento 1,MES 3,5,3.0,La comunicación telefónica con ustedes es muy difícil y las dudas o  aclaraciones y preguntas se debe dirigir a la ciudad de Tunja donde por los costos de transporte y tiempo son muy difíciles.,Responder las líneas telefónicas.
126,Segmento 1,MES 3,0,1.0,"No resuelven el problema, te llenan de requerimientos y radicados que no solucionan. Me han mandado tres veces una TC que no pedí ni autoricé, y sin embargo, me generan cobros que no me deja cancelar el producto. Pésimo servicio",Resolver los problemas que tiene el cliente y no generar productos sin la autorización o requerimiento del cliente
127,Segmento 1,MES 1,5,4.0,,
128,Segmento 1,MES 3,0,1.0,Es un banco muy malo siempre cobran y descuentan mas de lo debido...,
129,Segmento 1,MES 2,6,3.0,Por que el día que se pudo hablar  con el acesor se llegó a un acuerdo para que me enviaran las cuotas del pago a mi correo y hasta el momento no a pegado nada y eso me parece falta de seriedad y pues ahora ya no tenemos oficina en el 20 de Julio  peor creo que ni ganas de recomendarlos  con nadie,Ser más específicos proponer  soluciones   que el cliente pueda analizar y poder secar a un acuerdo entre ambas partes  y que las cuotas sean flexibles
130,Segmento 1,MES 1,0,1.0,"porque la persona que llamo a cobrarme $ 55.000 grosera y atrevida, por favor busquen gente profesional",contratar personal idoneo
131,Segmento 1,MES 1,3,3.0,"La comunicacion es bastante dificil, realizan incrementos a los cupos sin validar o contemplar las necesidades del cliente, no actualizan las bases de datos lo que hace que los comunicados que generan sena repetitivos y ostigantes.",
132,Segmento 1,MES 2,0,1.0,"No me deja iniciar sección en internet, no me permite generar clave, siempre me sale error de validación y las líneas no responden",Cancelar mis productos
133,Segmento 1,MES 2,2,1.0,"Me bloquearon mi tarjeta estando de viaje en el ext, después de haber solicitado el uso en compras internacionales......para completar el abuso me envian una tarjeta que NO he activado y me cobran cuota de manejo....me siento vulnerada y muy desilucionada.","Respetar los derechos de los usuarios, por lo pronto pondré mi caso en conocimiento de la superintendencia yde los medios de comunicación."
134,Segmento 1,MES 1,0,1.0,Tienen asesores MENTIROSOS,Nada
135,Segmento 1,MES 3,0,1.0,"No hay atención al cliente; solo para entragar el producto o afrecer mas se ve la diligencia, por lo demas no hay buena atención al usuario.",No se ha podido realizar el registro en linea para poder hacer uso de la linea de atemción telefonica ni hay otra forma de atención diferente al desplazamiento hasta la sucursal fisica; seria excelente que se ralizara el registro de usuario para realizar transacciones en la sucursal telefonica.
